,Natural Action,Avianna,My Names Stacey,Maximum Brooke,Thybulle Bale,Malo Magic
10-01-2023 16:00:32.630216,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:33.672282,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:34.633918,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:35.650612,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:36.603488,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:37.559504,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:38.574077,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:39.486563,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:40.401138,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:41.309207,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.463157894736842)"
10-01-2023 16:00:42.281238,"(18.0, 60.0, 33.125)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 9.485714285714286)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:43.250055,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 8.6375)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.95)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:44.247699,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:45.138815,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 8.4625)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:46.148780,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:47.102424,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:47.992570,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:48.994606,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:49.945659,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:50.846947,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:51.777068,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:52.781006,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:53.714602,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:54.699046,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:55.763770,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:56.784735,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:57.740030,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:58.631269,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:00:59.472541,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:00.389186,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:01.261160,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:02.316652,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:03.199538,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:04.173826,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:05.228065,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:06.130609,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:07.100455,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:08.040358,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:09.124806,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:10.076730,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:10.999322,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:12.126386,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:13.156381,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:14.184162,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:15.305077,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:16.479858,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:17.539944,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:18.691281,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:19.785209,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:20.765317,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:21.979079,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:23.109317,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:24.143972,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.4)","(2.2, 3.2, 2.266666666666667)"
10-01-2023 16:01:25.283484,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 10.2)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:26.346468,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.2833333333333337)","(6.5, 11.5, 8.8)","(6.0, 12.0, 10.2)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:27.323046,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:28.383416,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:29.317059,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:30.402099,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:31.532303,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:32.567812,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:33.693902,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
10-01-2023 16:01:34.753046,"(18.0, 60.0, 36.111111111111114)","(7.0, 14.5, 9.67)","(3.2, 5.2, 3.5571428571428574)","(6.5, 11.5, 8.8)","(6.0, 12.0, 8.64)","(2.2, 3.2, 2.5)"
