,Alpha Sheldon,Alpha Rambo,Big Time Tesla,Allegro Flippy,Giant Lurch,Thrilling Vespa,Sweet Silver
06-01-2023 13:32:42.688600,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:43.664538,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:44.689163,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:45.788759,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:46.854202,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:47.933603,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:48.973492,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:49.898629,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:50.859061,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:51.824856,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:52.934650,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:54.070548,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:55.055679,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:56.010469,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:57.025642,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:58.051205,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 49.03846153846154)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:32:59.059719,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 120.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:00.136203,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:01.330574,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:02.325868,"(14.0, 32.0, 17.0)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:03.277939,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 20.333333333333336)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:04.288795,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 20.333333333333336)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:05.412116,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 15.666666666666668)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 58.611111111111114)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:06.432884,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 110.0, 64.64285714285714)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:07.406080,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 100.0, 64.64285714285714)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:08.343448,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 100.0, 64.64285714285714)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:09.239327,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 100.0, 64.64285714285714)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:10.206741,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 100.0, 64.64285714285714)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:11.333451,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 100.0, 78.75)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:12.392755,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 140.0, 78.75)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:13.533947,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 140.0, 78.75)","(2.7, 3.15, 2.73)","(4.2, 6.8, 6.02)"
06-01-2023 13:33:14.673329,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 140.0, 78.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:15.638073,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 140.0, 78.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:16.538517,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 140.0, 78.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:17.806654,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:18.948226,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:19.920694,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:20.920525,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:21.834704,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:22.756506,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:23.707702,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:24.654461,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:25.645373,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:26.630143,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:27.666175,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:28.671781,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:29.646889,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:30.583630,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:31.806582,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:32.785054,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:33.795925,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:34.877745,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:35.904270,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:36.994467,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:38.082681,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:39.180482,"(14.0, 32.0, 25.333333333333336)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:40.250382,"(14.0, 32.0, 28.25)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:41.324185,"(14.0, 32.0, 28.25)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:42.289502,"(14.0, 32.0, 28.25)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:43.379265,"(14.0, 32.0, 28.25)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:44.404786,"(14.0, 32.0, 28.25)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
06-01-2023 13:33:45.618445,"(14.0, 32.0, 28.25)","(12.0, 25.0, 16.0)","(7.0, 14.0, 13.309090909090909)","(2.9, 8.2, 6.8578947368421055)","(19.0, 150.0, 83.75)","(2.7, 3.15, 2.7113333333333336)","(4.2, 6.8, 6.057142857142857)"
