,Minter Spice,Rocky Dingo,Agent Jesse,Minter Win,Mega Banjo Boy,Cross The River
10-01-2023 17:49:42.106060,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:43.107478,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:44.106681,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:45.123515,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:46.032086,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:46.888339,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 6.491666666666667)"
10-01-2023 17:49:47.824336,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.332608695652174)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.0, 5.796590909090909)"
10-01-2023 17:49:48.855718,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 5.796590909090909)"
10-01-2023 17:49:49.811306,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 5.796590909090909)"
10-01-2023 17:49:50.791320,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 5.796590909090909)"
10-01-2023 17:49:51.671398,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 5.796590909090909)"
10-01-2023 17:49:52.577487,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 5.796590909090909)"
10-01-2023 17:49:53.571561,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.428985507246377)"
10-01-2023 17:49:54.530164,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.428985507246377)"
10-01-2023 17:49:55.511599,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.428985507246377)"
10-01-2023 17:49:56.428553,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.428985507246377)"
10-01-2023 17:49:57.310682,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.428985507246377)"
10-01-2023 17:49:58.284345,"(4.2, 6.8, 6.0588235294117645)","(4.0, 7.2, 6.352941176470589)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:49:59.208787,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:50:00.227634,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:50:01.223829,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:50:02.159658,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:50:03.020207,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 469.16666666666663)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:50:03.939589,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 6.2, 5.41764705882353)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 307.5)","(4.4, 7.2, 6.945454545454545)"
10-01-2023 17:50:04.922016,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 307.5)","(4.4, 7.2, 6.763636363636364)"
10-01-2023 17:50:05.904937,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 307.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:06.884444,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 307.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:07.801526,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 307.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:08.661685,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 550.0, 307.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:09.611943,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 830.0, 252.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:10.613316,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 830.0, 252.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:11.646810,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 830.0, 252.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:12.626632,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 830.0, 252.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:13.531254,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 830.0, 252.5)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:14.429872,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 830.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:15.346917,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:16.384216,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:17.379028,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:18.351555,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.2, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(81.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:19.300066,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.4, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(61.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:20.171841,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.4, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(61.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:21.086902,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.4, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(61.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:22.094936,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.4, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(61.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:23.077856,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.4, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(61.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
10-01-2023 17:50:24.023688,"(4.2, 7.2, 6.909090909090909)","(4.0, 8.6, 7.833333333333333)","(4.4, 5.5, 5.0058823529411764)","(3.2, 5.3, 3.7062500000000003)","(61.0, 570.0, 315.0)","(4.4, 7.0, 6.763636363636364)"
