,Tahi Tama,Wind In My Wings,Perfect Turn,My Bibby,Dublin Castle,Triathlete,Derryaire,Our Mate Reg,Sneeze,Mcdreamy,Unscripted
12-01-2023 12:26:37.610355,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:38.872386,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:40.123718,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:41.389638,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:42.734480,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:44.025448,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:45.324113,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:46.672698,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:48.050735,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:49.399580,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
