,Lensman,I Am Richenuff,Harderthantherest,Exalted Dennis,Foxtrot Bravo,Garratt Road,Costaway,Blazing Zone,Jeddalet,Wicked Redoutes
05-01-2023 14:57:44.841051,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:46.116318,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:47.316808,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:48.527247,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:49.861138,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:51.099193,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:52.324932,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:53.617066,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:54.853377,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:56.059421,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:57.268882,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:58.642662,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:57:59.956214,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 15.1)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:01.236965,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:02.554857,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:03.817228,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:05.072315,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:06.345289,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:07.575211,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:08.796324,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:10.088009,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:11.362290,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:12.587995,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:13.772750,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:15.002089,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:16.189481,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:17.399105,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:18.610374,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:19.761615,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:20.974547,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:22.216619,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:23.470403,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:24.700302,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:25.903798,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:27.147683,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:28.380991,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:29.620855,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:30.858896,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.114285714285715)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:32.097678,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.025)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:33.296164,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.025)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:34.501491,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.025)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:35.686015,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.025)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:36.824168,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.025)","(4.2, 4.5, 4.3)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.024742268041237)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:37.989973,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:39.097015,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:40.259981,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:41.425230,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:42.652108,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:43.896488,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:45.154476,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:46.351517,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:47.600139,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:48.839190,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:50.044188,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:51.309904,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:52.543527,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:53.807447,"(3.4, 4.5, 3.9909090909090907)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.9)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
05-01-2023 14:58:55.043263,"(3.4, 4.5, 4.01)","(4.6, 5.4, 5.0538461538461545)","(4.2, 4.5, 4.136363636363636)","(9.0, 16.0, 14.2)","(10.0, 18.0, 16.5)","(6.0, 7.8, 7.03265306122449)","(18.0, 29.0, 22.61111111111111)","(20.0, 60.0, 55.63157894736842)","(21.0, 95.0, 70.33333333333334)","(26.0, 120.0, 73.0)"
