,Live A Good Life,Hammering Lemon,Foreman,Last Renegade,Imperator,Add On,Irish Knight,Minehunter,Blessed Brother
11-01-2023 08:07:20.880645,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.2, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:22.006140,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:23.147895,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:24.226339,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:25.307642,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:26.421517,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:27.507699,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:28.628804,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:29.701540,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:30.789507,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:31.890571,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:33.025820,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:34.141147,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:35.216453,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:36.331929,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:37.418863,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:38.455421,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:39.511119,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:40.573409,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:41.654578,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:42.722787,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:43.797745,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:44.869788,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:45.936139,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:47.065312,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:48.185136,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:49.239958,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(20.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:50.325984,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:51.497833,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:52.607991,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:53.697575,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:54.812994,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:55.931792,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:57.000086,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:58.101074,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:07:59.170649,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:00.247131,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:01.328107,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:02.405175,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:03.441977,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:04.518552,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:05.598064,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:06.689794,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:07.781436,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:08.993263,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:10.089547,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:11.185694,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:12.272968,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:13.476525,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:14.640390,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:15.764964,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:16.894919,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:18.073721,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:19.173318,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:20.270123,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:21.381573,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:22.513777,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:23.615793,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:24.727709,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:25.881665,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:26.984994,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:28.151425,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:29.287205,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:30.382231,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:31.444515,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:32.532924,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:33.612043,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:34.737383,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:35.949936,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:37.139073,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:38.290489,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:39.441913,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:40.546455,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:41.626891,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:42.735138,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:43.831776,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:44.937736,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:46.053228,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:47.241224,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:48.412886,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:49.569991,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:50.725059,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:51.843103,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
11-01-2023 08:08:52.930883,"(8.5, 99999, 99990)","(4.6, 99999, 99990)","(3.1, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 99999, 99990)","(12.0, 99999, 99990)"
