,Priddy Sublime,Stepping Stones,Magic Pebbles,Szabolski Leis,Nine Diamonds,Machs Mareta Nz,Mia Ragazza Nz,Major Grace Nz,Juniper,Nova Baxter
08-01-2023 16:54:36.970655,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:38.179513,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:39.471754,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:40.790074,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:42.124394,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:43.451140,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:44.793190,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:46.098678,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:47.456635,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:48.681827,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
