,Aqua Blaze,Pacific Prayer,Crawl Back,Zar Zar Bing,Chasing Rascal,Ocean Girl,Inter Barty,Queen Zipper
15-12-2022 14:24:29.055321,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 134.85714285714286)","(6.0, 11.0, 10.24)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:30.246522,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 134.85714285714286)","(6.0, 11.0, 10.24)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:31.466971,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 134.85714285714286)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:32.596460,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 134.85714285714286)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:33.591680,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:34.735527,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:35.764295,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:36.860553,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:38.016442,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:39.340722,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.6000000000000005)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:40.537986,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 10.24)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:41.923239,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:43.307136,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.666666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:44.611506,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.666666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:45.886945,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.666666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:47.073377,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.666666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:48.161189,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:49.151466,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:50.250158,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:51.498782,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 8.735294117647058)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:52.691987,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:53.901330,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:55.131926,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:56.333337,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:57.360209,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:58.427830,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:24:59.549438,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:00.757019,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:02.195228,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:03.464043,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 8.433333333333334)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:04.862139,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:06.274287,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:07.596760,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:08.893335,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:10.136518,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:11.381175,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.111111111111111)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:12.873778,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.4)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 8.433333333333334)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:14.240352,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.6)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 8.2)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:15.485033,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:16.693327,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:17.955165,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.381818181818182)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:19.163066,"(10.0, 23.0, 17.72)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:20.343739,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:21.588202,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 130.66666666666669)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:22.830883,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.666666666666668)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 7.266666666666667)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:24.148022,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 8.433333333333334)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:25.368772,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 6.955555555555556)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:26.613083,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 6.955555555555556)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:27.829434,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 6.955555555555556)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:29.029837,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.68)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 8.433333333333334)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:30.215438,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 7.4222222222222225)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:31.351272,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 7.4222222222222225)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:32.483676,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.847058823529411)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 11.0, 7.1454545454545455)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:33.508948,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 7.1454545454545455)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:34.554250,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 7.1454545454545455)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:35.655186,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.131578947368421)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:36.726974,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.131578947368421)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:37.739093,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.131578947368421)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:38.723402,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.131578947368421)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:39.788660,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.131578947368421)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:41.162262,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.131578947368421)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:42.303237,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 9.071428571428571)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:43.398667,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 9.071428571428571)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:44.538938,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 9.071428571428571)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:45.680700,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 6.151999999999999)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.322222222222223)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:46.910020,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.381818181818182)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 23.2)","(41.0, 320.0, 120.94117647058825)","(6.0, 10.5, 8.322222222222223)","(31.0, 220.0, 97.85714285714286)"
15-12-2022 14:25:48.062041,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.381818181818182)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 26.818181818181817)","(41.0, 320.0, 179.0)","(6.0, 10.5, 8.322222222222223)","(31.0, 220.0, 125.0)"
15-12-2022 14:25:49.137556,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 26.818181818181817)","(41.0, 320.0, 179.0)","(6.0, 10.5, 8.322222222222223)","(31.0, 220.0, 125.0)"
15-12-2022 14:25:50.154805,"(10.0, 23.0, 19.285714285714285)","(2.6, 4.7, 4.292)","(4.2, 6.8, 5.133333333333333)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 26.818181818181817)","(41.0, 320.0, 179.0)","(6.0, 10.5, 8.322222222222223)","(31.0, 220.0, 125.0)"
