,Big Time Gift,Big Time May,Denuto,Sweet Mix,Big Time Dora,Kina Magic,Ariana Sunset
11-01-2023 12:44:46.187836,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.654545454545455)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:47.508171,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.672727272727273)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:48.669640,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:49.905583,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:51.107246,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:52.291831,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:53.687575,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:54.982234,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:56.222157,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:57.462046,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:58.629525,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:00.031046,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:01.273219,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:02.365394,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:03.568088,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:04.548344,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:05.638258,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:06.812972,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:07.949956,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:09.230993,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:10.519037,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:11.948025,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:13.183863,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:14.397431,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:15.634997,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:16.885121,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:17.975949,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:19.229817,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:20.462546,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:21.640339,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:22.775158,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:23.971556,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:25.220611,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:26.439984,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:27.595537,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:28.753868,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:30.009099,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:31.139618,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:32.286973,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:33.404414,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:34.552092,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:35.725996,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:36.908711,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:38.065484,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:39.295297,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.2823529411764705)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:40.519369,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:41.736072,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:42.952259,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:44.224210,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:45.477519,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:46.617828,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:47.806429,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:49.043026,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:50.296264,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:51.461139,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:52.547971,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:53.689031,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:54.899401,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:56.097262,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:57.408425,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:45:58.679906,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:00.165061,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:01.470154,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:02.767065,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:03.969796,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:05.152056,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:06.268161,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:07.440971,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:08.740002,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:09.975597,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:11.137475,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:12.276762,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:13.551954,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:14.825893,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:16.147618,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:17.193216,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:18.311876,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:19.578679,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:20.779888,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:21.917898,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:23.103441,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:24.202363,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:25.293274,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:26.408004,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:27.556213,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:46:28.797034,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.311111111111112)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
