,Alaskan Storm,Allonsy,Dominion Dancer,Frankly Rosie,Subculture,Tempestarii,World War Two,Mississippi Maggie,Pierroma,Reo
08-01-2023 13:29:20.774520,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 6.640000000000001)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:22.025664,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 6.640000000000001)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:23.278275,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 6.640000000000001)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:24.503840,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 6.640000000000001)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:25.802183,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 23.692307692307693)","(5.5, 7.6, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:27.029701,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 23.692307692307693)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:28.326185,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 26.125)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:29.540789,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:30.718993,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:32.016024,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:33.276043,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:34.532777,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:35.746895,"(2.9, 3.75, 3.5700000000000003)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:36.963969,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:38.140052,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:39.338677,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:40.580896,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:41.786623,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.2)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:43.017031,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 6.733333333333333)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.433333333333333)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:44.274162,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.0470588235294125)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:45.589965,"(2.9, 3.75, 3.6625)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.1692307692307695)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:46.922778,"(2.9, 3.75, 3.7)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.1692307692307695)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:48.208318,"(2.9, 3.75, 3.7)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.1692307692307695)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:49.479708,"(2.9, 3.75, 3.7)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 25.714285714285715)","(5.5, 7.4, 7.1692307692307695)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:50.692920,"(2.9, 3.75, 3.7)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 22.727272727272727)","(5.5, 7.4, 7.1692307692307695)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:51.897725,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 22.727272727272727)","(5.5, 7.4, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.441269841269841)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.716981132075472)"
08-01-2023 13:29:53.098891,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 22.727272727272727)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.716981132075472)"
08-01-2023 13:29:54.245377,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 22.727272727272727)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.716981132075472)"
08-01-2023 13:29:55.460018,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 22.727272727272727)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.716981132075472)"
08-01-2023 13:29:56.646103,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 24.3125)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.716981132075472)"
08-01-2023 13:29:57.874133,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 24.3125)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.716981132075472)"
08-01-2023 13:29:59.141268,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 24.3125)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.46)"
08-01-2023 13:30:00.469647,"(2.9, 3.9, 3.5607142857142855)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 24.3125)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 4.7, 4.385964912280701)"
