,Farmor Smitten,Joey The Poke,Haras Harley,Lingonberry,Bogie Hurricane,Comical Hope
09-01-2023 18:22:15.240578,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:16.392709,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:17.498822,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:18.575680,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:19.748485,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:20.944925,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:22.133929,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:23.214594,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:24.289264,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:25.442254,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:26.797312,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:28.165244,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:29.353063,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:30.466729,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:31.567319,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:32.692945,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:33.998276,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:35.283732,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:36.458043,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:37.515051,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:38.643703,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:39.792137,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:40.964433,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:42.131990,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:43.310441,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:44.477770,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:45.692858,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:46.812835,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:48.097065,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:49.295376,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:50.431577,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:51.566098,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:52.514366,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:53.597103,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:54.720126,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:55.830220,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:56.987825,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:58.181261,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:59.406666,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:00.744235,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:02.047374,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:03.360551,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:04.679722,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:05.957341,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:07.100336,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:08.245254,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:09.426588,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:10.678553,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:11.948559,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:13.175465,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:14.365966,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:15.593237,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:16.844570,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:18.011488,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:19.204565,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:20.460087,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:21.638801,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:22.725851,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:24.155846,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:25.755467,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:27.189388,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:28.547568,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:29.869343,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:31.160775,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:32.365384,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:33.651676,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:34.875723,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:36.143526,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:37.448084,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:38.679023,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:39.942729,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:41.317815,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:42.889504,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.76)","(3.8, 6.6, 4.8)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:44.377369,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.6, 4.364705882352942)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:45.666770,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.364705882352942)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:46.826612,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.777777777777778)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:48.030207,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.777777777777778)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:49.284594,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.777777777777778)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:50.847894,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.777777777777778)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:52.382580,"(10.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.777777777777778)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:53.712908,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.777777777777778)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:55.016274,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 6.8, 4.494736842105263)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:56.211379,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.494736842105263)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:57.616312,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.494736842105263)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 40.68181818181819)"
09-01-2023 18:23:58.912246,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 40.68181818181819)"
09-01-2023 18:24:00.234276,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 40.68181818181819)"
09-01-2023 18:24:01.494867,"(9.0, 23.0, 11.166666666666668)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:02.617301,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:03.823487,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:05.241852,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:06.502438,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:07.805915,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:08.989226,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:10.124200,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:11.421072,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:12.664033,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
09-01-2023 18:24:13.901135,"(9.0, 23.0, 15.11111111111111)","(5.0, 8.8, 5.680000000000001)","(3.8, 7.0, 4.407407407407407)","(91.0, 590.0, 532.7777777777778)","(1.55, 1.71, 1.6578947368421053)","(18.0, 60.0, 33.75)"
