,Rich Devil,Always Barney,Mr Banner,Trial By Combat,Spooky Ethics,Next Of Kinloch,Prince Majestic,Greek Warrior
09-01-2023 14:48:09.778245,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:11.137185,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:12.484728,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:13.856259,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:15.275159,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:16.679414,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:18.058094,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:19.375256,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:20.794956,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:22.375687,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:24.061838,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:25.469197,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:26.878415,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:28.230907,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:29.546237,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:30.825780,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:32.089489,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:33.427513,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:34.758858,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:36.135062,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:37.323601,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:38.593572,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:40.009601,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:41.341622,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:42.733975,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:44.137392,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:45.553649,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:46.880328,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:48.153939,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:49.310760,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:50.559698,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:51.911667,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:53.393317,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:54.679886,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:55.966306,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:57.464870,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:58.977697,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:00.388142,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.771428571428572)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:01.772665,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:03.074526,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.518333333333333)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:04.296009,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:05.504547,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:06.746710,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:07.855394,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:09.105150,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:10.438562,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:11.707803,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:13.017181,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:14.401818,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:15.683955,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:16.915413,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:18.175699,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:19.428126,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:20.666075,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:21.930065,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:23.135392,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:24.334888,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:25.478487,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:26.538805,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:27.621407,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:28.760181,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:29.857877,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:30.950817,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:32.021993,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:33.073627,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:49:34.189152,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 9.6)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
