,Confused,Cookie Cotton,Sadie Seahorse,Elsie Bay,Concord Prince,Bundy Trigger,Victor Sannette,Melissas Louise
11-01-2023 11:55:11.545338,"(3.6, 7.4, 6.0)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:12.560827,"(3.6, 7.4, 6.7)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:13.635469,"(3.6, 7.4, 6.7)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:14.778867,"(3.6, 7.4, 6.7)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:15.944410,"(3.6, 7.4, 6.7)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:17.030805,"(3.6, 7.4, 6.875)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:18.251341,"(3.6, 7.4, 6.875)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:19.353957,"(3.6, 7.4, 6.875)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:20.349148,"(3.6, 7.4, 6.875)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:21.415466,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:22.457024,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:23.470526,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:24.492924,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:25.508151,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 15.05)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:26.554176,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 96.57142857142857)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:27.525692,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:28.543131,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:29.683814,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:30.784163,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:31.906572,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:32.972251,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:33.998153,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:34.979524,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:35.994075,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:37.019955,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:38.020000,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:39.079826,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:40.149959,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:41.233941,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:42.264691,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:43.268542,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 380.0, 101.66666666666666)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:44.281222,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 370.0, 92.28571428571428)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:45.272616,"(3.6, 7.2, 6.566666666666666)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 370.0, 92.28571428571428)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:46.309801,"(3.6, 6.8, 6.425)","(20.0, 60.0, 30.4)","(12.0, 21.0, 17.90909090909091)","(10.0, 17.0, 14.291666666666666)","(41.0, 370.0, 92.28571428571428)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:47.343172,"(3.6, 6.6, 6.333333333333333)","(20.0, 60.0, 30.4)","(12.0, 20.0, 17.272727272727273)","(10.0, 17.0, 14.291666666666666)","(41.0, 370.0, 92.28571428571428)","(8.5, 13.5, 11.64)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:48.448403,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.954545454545453)","(10.0, 17.0, 14.291666666666666)","(41.0, 370.0, 116.8)","(8.5, 13.0, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:49.556867,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.954545454545453)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:50.551770,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.954545454545453)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:51.522345,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.954545454545453)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:52.532183,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.954545454545453)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:53.540754,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:54.545693,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 10.9)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:55.569833,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:56.634112,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:58.039983,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:59.100630,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:00.110723,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:01.088445,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:02.154012,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:03.206422,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:04.307823,"(3.6, 6.6, 6.233333333333333)","(20.0, 60.0, 30.4)","(12.0, 19.5, 16.0)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:05.437097,"(3.6, 6.6, 6.155555555555555)","(20.0, 60.0, 30.4)","(12.0, 18.5, 17.75)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:06.584428,"(3.6, 6.6, 6.155555555555555)","(20.0, 60.0, 30.4)","(12.0, 18.5, 17.75)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:07.720252,"(3.6, 6.6, 6.155555555555555)","(20.0, 60.0, 30.4)","(12.0, 18.5, 17.75)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:08.928748,"(3.6, 6.6, 6.155555555555555)","(20.0, 60.0, 30.4)","(12.0, 18.5, 17.75)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:09.886678,"(3.6, 6.6, 6.155555555555555)","(20.0, 60.0, 30.4)","(12.0, 18.5, 17.75)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:10.894657,"(3.6, 6.6, 6.155555555555555)","(20.0, 60.0, 30.4)","(12.0, 18.5, 17.75)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:11.893187,"(3.6, 6.8, 5.942857142857143)","(20.0, 60.0, 30.4)","(12.0, 28.0, 22.363636363636363)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:12.909600,"(3.6, 6.8, 5.942857142857143)","(20.0, 60.0, 30.4)","(12.0, 26.0, 21.090909090909093)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:13.917965,"(3.6, 6.8, 5.942857142857143)","(20.0, 60.0, 30.4)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:14.945082,"(3.6, 6.8, 5.942857142857143)","(20.0, 60.0, 30.4)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:15.977588,"(3.6, 6.8, 5.942857142857143)","(20.0, 60.0, 30.4)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:17.014653,"(3.6, 6.6, 5.75)","(20.0, 60.0, 33.09090909090909)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:18.056344,"(3.6, 6.6, 5.6)","(20.0, 60.0, 33.09090909090909)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:19.030866,"(3.6, 6.6, 5.75)","(20.0, 60.0, 33.09090909090909)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:19.978657,"(3.6, 6.6, 5.6)","(20.0, 60.0, 33.09090909090909)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:21.190407,"(3.6, 6.6, 5.6)","(20.0, 60.0, 33.09090909090909)","(12.0, 25.0, 22.22222222222222)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:22.187672,"(3.6, 6.6, 5.8)","(20.0, 60.0, 33.09090909090909)","(12.0, 24.0, 20.549999999999997)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:23.230426,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:24.310455,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:25.364275,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:26.455965,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:27.567895,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:28.625211,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:56:29.584916,"(3.6, 6.6, 6.166666666666666)","(20.0, 60.0, 33.09090909090909)","(12.0, 22.0, 19.88888888888889)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
