,Mr Wallace,Windshadow,Jackson On Time,Cassimir,Bel Air,Silentsar,Pharoah Magic,The Lions Gate,Sha Of Gomer,Snitcat,Avebury,Wild Calm,Arts Object,Iron Grace,Dolly Bird,Dirty Dancing
07-01-2023 11:34:00.075196,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.735294117647058)","(5.0, 7.0, 6.618604651162791)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:02.024799,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.785714285714286)","(5.0, 7.0, 6.618604651162791)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:03.852080,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.8140740740740737)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.785714285714286)","(5.0, 7.0, 6.666666666666666)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 58.888888888888886)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:05.758046,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.8140740740740737)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.333333333333336)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.785714285714286)","(5.0, 6.8, 6.666666666666666)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 58.888888888888886)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:07.649888,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.798787878787879)","(16.0, 21.0, 20.125)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.333333333333336)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.785714285714286)","(5.0, 6.8, 6.666666666666666)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 69.54545454545455)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:09.544421,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 16.65625)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.8, 2.798787878787879)","(16.0, 21.0, 20.125)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.333333333333336)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.785714285714286)","(5.0, 6.8, 6.666666666666666)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 75.0, 69.54545454545455)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:11.421544,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 16.428571428571427)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.166666666666668)","(2.6, 2.8, 2.797222222222222)","(16.0, 21.0, 20.192307692307693)","(61.0, 75.0, 73.0)","(41.0, 65.0, 56.666666666666664)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.863636363636363)","(5.0, 6.8, 6.714285714285714)","(10.0, 15.0, 14.5)","(91.0, 150.0, 120.0)","(31.0, 48.0, 45.333333333333336)","(41.0, 70.0, 62.05882352941177)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:13.258895,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 16.176470588235293)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.86, 2.7828770301624126)","(16.0, 21.0, 20.192307692307693)","(61.0, 75.0, 73.0)","(41.0, 65.0, 56.666666666666664)","(12.0, 16.0, 15.620689655172415)","(11.0, 14.0, 13.863636363636363)","(5.0, 7.0, 6.714285714285714)","(10.0, 15.0, 14.434782608695652)","(91.0, 150.0, 120.0)","(31.0, 48.0, 45.333333333333336)","(41.0, 70.0, 63.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:15.070359,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 16.176470588235293)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.7828770301624126)","(16.0, 21.0, 20.192307692307693)","(61.0, 75.0, 73.0)","(41.0, 65.0, 56.666666666666664)","(12.0, 16.0, 15.620689655172415)","(11.0, 14.0, 13.863636363636363)","(5.0, 7.0, 6.714285714285714)","(10.0, 15.0, 14.5)","(91.0, 150.0, 120.0)","(31.0, 48.0, 45.333333333333336)","(41.0, 70.0, 63.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:16.929875,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 16.176470588235293)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.7828770301624126)","(16.0, 21.0, 20.192307692307693)","(61.0, 75.0, 73.0)","(41.0, 65.0, 56.666666666666664)","(12.0, 16.0, 15.620689655172415)","(11.0, 14.0, 13.863636363636363)","(5.0, 7.0, 6.753846153846154)","(10.0, 15.0, 14.434782608695652)","(91.0, 150.0, 120.0)","(31.0, 48.0, 45.333333333333336)","(41.0, 70.0, 63.0)","(81.0, 120.0, 116.66666666666667)"
