,Linxx,United,Goodtime Maddie,Thomas Heights,Wow You Can Dance,Accelere Nz,Dancing Finn
10-01-2023 19:22:08.992518,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:10.087880,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:11.095738,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:12.161092,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:13.186431,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:14.118829,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:15.065558,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:16.093930,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:17.150486,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:18.221418,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:19.235141,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:20.311716,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:21.278658,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:22.335012,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:23.387294,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:24.342414,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:25.341544,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:26.394476,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:27.435397,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:28.474088,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:29.501160,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:30.617276,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:31.709110,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:32.803372,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:33.751235,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:34.717485,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:35.713728,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:36.693182,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:37.637867,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:38.641203,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:39.755051,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:40.844291,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:41.900624,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:42.938861,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:44.028009,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:45.164014,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:46.303144,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
