,Know Malice,Goldstar Hoot,Homebush Cinder,Impressive Charm,Ruidosa,Brendon Baxter,Freds Grey Way,Libelle
09-01-2023 11:50:04.940447,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:06.052601,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:07.127749,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:08.205715,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:09.212418,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:10.216280,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:11.247065,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:12.266666,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:13.391550,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:14.492759,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:15.568813,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:16.683228,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:17.768531,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:18.941627,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:20.079284,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:21.158649,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:22.225453,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:23.325317,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:24.391258,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:25.439920,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:26.474206,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:27.471611,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:28.475089,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:29.514946,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:30.526899,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:31.573126,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:32.734983,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:33.823482,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:34.949355,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:36.023512,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:37.130105,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:38.200456,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:39.257151,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:40.325946,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:41.577858,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:42.628091,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:43.653990,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:44.745267,"(4.6, 13.5, 11.76923076923077)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:45.956939,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:47.221178,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:48.403094,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:49.493082,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:50.714024,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:51.955786,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:53.163073,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:54.342491,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:55.533237,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:56.622205,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:57.668153,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:58.699374,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:59.699084,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:00.810771,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 30.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:01.963017,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:03.130205,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:04.305580,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:05.433047,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:06.633260,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:07.764829,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:51:08.907311,"(4.6, 13.0, 10.45)","(4.2, 12.5, 7.4)","(7.5, 29.0, 21.666666666666668)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
