,Devils Water,Radiant Betty,Tiggerlong Rebel,Silver Compass,Holiday In Paris,Smiling Spaniard,All Inn Chester,Ziems Park Girl
05-01-2023 12:41:37.282501,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:38.503388,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:39.759316,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:41.115926,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:42.471602,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:43.734464,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:45.142542,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:46.573700,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:47.958225,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:49.403526,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:50.643299,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:51.824411,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:52.984093,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:54.201347,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:55.459341,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:56.662975,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:57.839803,"(14.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:59.003532,"(14.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:42:00.182352,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:01.375392,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:02.747170,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:03.997057,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:05.344208,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:06.898859,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:08.248686,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:09.602128,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 10.5)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.3977419354838707)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:10.797050,"(15.0, 38.0, 35.55)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 9.975)","(15.0, 36.0, 33.75)","(2.8, 3.75, 3.3977419354838707)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:11.953925,"(15.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 9.975)","(15.0, 36.0, 33.75)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:13.091712,"(15.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 9.975)","(15.0, 36.0, 33.75)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:14.280604,"(15.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 9.975)","(15.0, 36.0, 33.75)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:15.518698,"(15.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 9.975)","(15.0, 36.0, 33.75)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:16.859837,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(15.0, 36.0, 33.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:18.088214,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(15.0, 36.0, 33.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:19.260045,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(15.0, 36.0, 33.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:20.460095,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(15.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:21.785547,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(15.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:23.106063,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(15.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:24.405493,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:25.662381,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:26.947892,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:28.110459,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:29.289399,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:30.507890,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:31.811414,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:33.165430,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:34.424466,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:35.719953,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:36.822192,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:37.963510,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:39.074142,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:40.277426,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:41.374035,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:42.566173,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:43.726312,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:44.867325,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:45.968921,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 33.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:47.039797,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 33.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:48.171086,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 33.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:49.296736,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 33.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:50.497131,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 33.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:51.627261,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:52.722842,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:53.843712,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.1752631578947366)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:55.044161,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 3.3977419354838707)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:56.307845,"(15.0, 36.0, 33.5)","(5.0, 10.5, 5.733333333333333)","(4.4, 6.8, 5.0)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:57.669116,"(15.0, 36.0, 31.03846153846154)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 36.0, 34.5)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:42:58.947979,"(15.0, 42.0, 33.5)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 42.0, 37.44736842105263)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:00.219919,"(15.0, 46.0, 33.5)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 37.44736842105263)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:01.426611,"(15.0, 46.0, 33.5)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 37.44736842105263)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:02.620237,"(15.0, 46.0, 33.5)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 37.44736842105263)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:03.768775,"(15.0, 46.0, 33.5)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 38.0)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:04.984739,"(15.0, 46.0, 38.0)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 38.0)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:06.155928,"(15.0, 46.0, 38.0)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 38.0)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:07.336889,"(15.0, 46.0, 38.0)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 38.0)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
05-01-2023 12:43:08.509323,"(15.0, 46.0, 38.0)","(5.0, 10.5, 6.76)","(4.4, 6.8, 6.384615384615385)","(9.0, 21.0, 16.733333333333334)","(16.0, 46.0, 38.0)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(18.0, 55.0, 38.75)"
