,Forward Step,Nut Butter Jam,Strum The Banjo,Aquata,Will She Stay,Confound
11-01-2023 13:26:33.345410,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:34.704424,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:35.891566,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:36.994400,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:38.162727,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:39.347463,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:40.510826,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:41.706355,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:42.846252,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:43.952104,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:45.137568,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:46.324017,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:47.530658,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 9.38)"
11-01-2023 13:26:48.670985,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 9.24)"
11-01-2023 13:26:49.819958,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 10.23076923076923)"
11-01-2023 13:26:51.017701,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 9.24)"
11-01-2023 13:26:52.297402,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:26:53.641725,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:26:54.876597,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:26:56.050636,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:26:57.167080,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:26:58.345366,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:26:59.536114,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:00.664613,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:01.791801,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:02.840627,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:03.926376,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:05.068193,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:06.204521,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:07.395985,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:08.577459,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.778688524590164)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:09.664707,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.778688524590164)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:10.777541,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.4)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:11.899497,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:12.948258,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:14.111300,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:15.265689,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:16.397365,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:17.619041,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 11.288888888888888)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:18.782785,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 11.288888888888888)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:20.018053,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:21.250562,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:22.542922,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:23.743860,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.8812499999999996)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:24.951440,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 3.083333333333333)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:26.276588,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 3.083333333333333)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:27.722971,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:28.964970,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:30.142249,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:31.363975,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:32.594106,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:33.841643,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:35.022945,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
11-01-2023 13:27:36.127556,"(3.9, 5.9, 4.465)","(31.0, 120.0, 54.285714285714285)","(2.9, 3.95, 3.216666666666667)","(7.5, 13.0, 7.3999999999999995)","(2.7, 4.4, 2.95625)","(7.0, 14.0, 11.2)"
