,Whos Your Papi,Miss Terri,Within Range,Werina Force,Uncle Charlie,King Wylde,Crayfish,Seaway Flyer
08-01-2023 12:20:00.365938,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:01.446396,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:02.540612,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:03.598629,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:04.694380,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:05.728859,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:06.745550,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:07.749410,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:08.783419,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:09.861263,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:10.946924,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:12.076345,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
