,Steel Hawk,Uninhabited Man,Grannys Poor,Marcia Hook,My Blaze,Buddys Mate
10-01-2023 18:27:43.267139,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:44.303901,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:45.298945,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:46.210056,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:47.124336,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:48.074908,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:49.002013,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:49.974151,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:50.995225,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:51.917193,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:52.855772,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:53.722312,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:54.614785,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:55.500814,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:56.396753,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:57.315717,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:58.237452,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:59.171167,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:00.089265,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:00.980139,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:01.886260,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:02.751172,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:03.615488,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:04.456844,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:05.336697,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:06.192297,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:07.079134,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:07.943266,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:08.792879,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:09.659654,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:10.511159,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:11.380686,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:12.284761,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:13.191160,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:14.064337,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:14.951437,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:15.805750,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:16.654859,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:17.529527,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:18.414086,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:19.331053,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:20.248440,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:21.144166,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:22.024860,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:22.909220,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:23.775285,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:24.656357,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:25.556025,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:26.446549,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:27.340268,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:28.242289,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:29.160424,"(13.0, 32.0, 29.5625)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:30.065662,"(13.0, 32.0, 29.5625)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:30.992418,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:31.923064,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:32.813289,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:33.706026,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:34.583903,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:35.452559,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:36.359592,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:37.266869,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:38.199712,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:39.103610,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:40.057420,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:40.965466,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:41.901208,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:42.829964,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:43.691295,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:44.551679,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:28:45.433915,"(13.0, 30.0, 22.708333333333332)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
