,Adonis Kick,Princeton Award,Almsgiver,Abreed,Vadaboy,Flame Of Venice,Light Up The Moon,Mr Mischief,Allaboutattitude
04-01-2023 14:21:39.695924,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.467605633802817)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.282608695652174)","(3.5, 4.0, 3.963157894736842)","(5.0, 6.8, 6.684444444444445)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:40.889033,"(7.0, 9.8, 9.59)","(3.9, 4.4, 4.390151515151516)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.282608695652174)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:42.115400,"(7.0, 9.8, 9.59)","(3.9, 4.4, 4.390151515151516)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.115384615384615)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 18.0, 16.6)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:43.420285,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.108695652173912)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:44.658068,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.108695652173912)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:45.881149,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.071428571428571)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:47.090676,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 16.944444444444443)","(8.5, 10.5, 10.071428571428571)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:48.257269,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.071428571428571)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:49.377938,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.071428571428571)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:50.513663,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.026315789473685)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:51.560998,"(7.0, 9.8, 9.59)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.026315789473685)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:52.652086,"(7.0, 9.8, 9.658823529411766)","(3.9, 4.5, 4.451592356687898)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.026315789473685)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:53.767799,"(7.0, 9.8, 9.658823529411766)","(3.9, 4.5, 4.45)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.026315789473685)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:54.876797,"(7.0, 9.8, 9.658823529411766)","(3.9, 4.5, 4.45)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.021951219512196)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:56.040498,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 10.021951219512196)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:57.135826,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 9.98421052631579)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:58.258487,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 17.5, 17.22222222222222)","(8.5, 10.5, 9.98421052631579)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:59.398061,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.867741935483872)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:00.554856,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.867741935483872)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:01.718759,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.867741935483872)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:02.867720,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.867741935483872)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:04.043069,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.867741935483872)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:05.197168,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.867741935483872)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:06.378370,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:07.490365,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.45)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:08.682623,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:09.847999,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:10.972406,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.73913043478261)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:12.068507,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.73913043478261)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:13.175634,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:14.246377,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:15.329466,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.214285714285715)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:16.435098,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9727272727272727)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:17.575416,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.454761904761905)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:18.711461,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.454761904761905)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:19.805039,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.454761904761905)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:20.922272,"(7.0, 9.8, 9.727272727272728)","(3.9, 4.5, 4.454761904761905)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.666666666666667)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:22.107357,"(7.0, 9.8, 9.600000000000001)","(3.9, 4.5, 4.454761904761905)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:23.233781,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.625)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:24.379164,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:25.552958,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:26.734330,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.684444444444445)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:27.880289,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:28.953331,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:30.078114,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:31.197805,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:32.264011,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:33.396802,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.666666666666668)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 16.0)","(21.0, 36.0, 33.53846153846154)","(31.0, 60.0, 52.0)"
04-01-2023 14:22:34.583779,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.453374233128835)","(11.0, 18.0, 17.75)","(8.5, 10.5, 9.997435897435897)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 57.5)"
04-01-2023 14:22:35.675459,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.451898734177215)","(11.0, 17.5, 17.130434782608695)","(8.5, 10.0, 9.653781512605041)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 57.5)"
04-01-2023 14:22:36.829499,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.653781512605041)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:37.911309,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.653781512605041)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:39.058311,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.635398230088494)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:40.162495,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.654794520547945)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:41.259789,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.654794520547945)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:42.368236,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.654794520547945)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:43.531103,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.654794520547945)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:44.742094,"(7.0, 9.8, 9.65)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 10.0, 9.68)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:45.909849,"(7.0, 10.0, 9.71111111111111)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 9.8, 9.68)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:47.094893,"(7.0, 10.0, 9.71111111111111)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 9.8, 9.68)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:48.246420,"(7.0, 10.0, 9.71111111111111)","(3.9, 4.5, 4.449668874172185)","(11.0, 17.5, 17.079545454545453)","(8.5, 9.8, 9.68)","(3.5, 4.0, 3.9765822784810125)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:49.367054,"(7.0, 10.0, 9.71111111111111)","(3.9, 4.5, 4.446938775510204)","(11.0, 17.5, 17.079545454545453)","(8.5, 9.8, 9.68)","(3.5, 4.0, 3.9850806451612906)","(5.0, 6.8, 6.703703703703703)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
04-01-2023 14:22:50.534422,"(7.0, 10.0, 9.71111111111111)","(3.9, 4.5, 4.446938775510204)","(11.0, 17.5, 17.079545454545453)","(8.5, 9.8, 10.078947368421053)","(3.5, 4.0, 3.9850806451612906)","(5.0, 6.8, 6.687719298245614)","(12.0, 17.5, 17.23)","(21.0, 36.0, 32.8)","(31.0, 60.0, 56.0)"
