,Wheres Our Money,Iam The Joker,Remember Bubbles,Yellow Bow,Blissfull Identity,Power To Bolt,Diesel Don,Shes So Brave,Carramar Kasiano,The Ringmaster
05-01-2023 12:49:33.275933,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:34.521376,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:35.764842,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:37.054610,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:38.470412,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:39.771055,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:41.090930,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:42.797310,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:44.380105,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:46.006610,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:47.700987,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:49.308292,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:54.715449,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:56.019436,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:57.277270,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:58.698513,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:50:00.043327,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:50:01.556553,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:50:03.269634,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 110.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:04.806637,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:06.406741,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:08.015190,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:09.671588,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:11.140750,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:12.628400,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:14.034141,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:15.433548,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:16.815556,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:18.199798,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:19.737887,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:21.215279,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:22.781112,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:24.242062,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 10.58)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:25.770804,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.719999999999999)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:27.205421,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:28.646261,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:30.071100,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:31.761540,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:33.356684,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:34.924236,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:36.628845,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:38.079304,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:39.484356,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:40.813628,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:42.155179,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:43.450212,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:44.774830,"(1.9, 3.65, 2.8)","(26.0, 100.0, 53.2)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 20.04)","(61.0, 220.0, 147.14285714285714)","(10.0, 23.0, 14.375)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 118.36363636363637)"
05-01-2023 12:50:46.153079,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 12.8)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 147.0)"
05-01-2023 12:50:47.463025,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 12.8)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 147.0)"
05-01-2023 12:50:48.825185,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 100.0, 76.6)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 12.8)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 147.0)"
