,Bedford Estate,Never Dance,Skinny Dip,Attrition,Brazen Kingdom,Cryptic Clue,Hurricane Ketut,Memphis Shadow,Mirroring,Think Rock,Normandy Belle
11-01-2023 14:55:59.366176,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4075829383886256)","(3.7, 4.3, 4.175)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:56:01.254889,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4075829383886256)","(3.7, 4.2, 4.175)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:56:02.956828,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4075829383886256)","(3.7, 4.2, 4.175)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:56:04.590139,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4075829383886256)","(3.7, 4.2, 4.197752808988764)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:56:06.222345,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4093896713615024)","(3.7, 4.2, 4.197802197802198)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.2)","(7.0, 9.0, 8.892857142857142)","(17.0, 23.0, 22.285714285714285)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:07.888833,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4093896713615024)","(3.7, 4.2, 4.197701149425288)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.2)","(7.0, 9.0, 8.892857142857142)","(17.0, 23.0, 22.285714285714285)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:09.391293,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4093896713615024)","(3.7, 4.2, 4.197802197802198)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.2)","(7.0, 9.0, 8.892857142857142)","(17.0, 23.0, 22.285714285714285)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:10.955137,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.379918032786885)","(3.7, 4.2, 4.197802197802198)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.2)","(7.0, 9.0, 8.892857142857142)","(17.0, 23.0, 22.285714285714285)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:12.525053,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.4, 3.5)","(3.7, 4.2, 4.171428571428571)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.833333333333334)","(7.0, 9.0, 8.857142857142858)","(17.0, 23.0, 22.666666666666668)","(26.0, 44.0, 33.42857142857143)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:14.074719,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.166666666666666)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.833333333333334)","(7.0, 9.0, 8.857142857142858)","(17.0, 24.0, 22.5)","(26.0, 42.0, 33.42857142857143)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:15.644299,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.166666666666666)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.2)","(7.0, 9.0, 8.96)","(17.0, 24.0, 22.5)","(26.0, 42.0, 33.42857142857143)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:17.165399,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 24.0, 22.5)","(26.0, 42.0, 33.42857142857143)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:18.598947,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 24.0, 23.4)","(26.0, 42.0, 35.0)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:20.098921,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 24.0, 23.4)","(26.0, 40.0, 32.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:21.645099,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 24.0, 23.571428571428573)","(26.0, 40.0, 32.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:23.191261,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 24.0, 23.571428571428573)","(26.0, 40.0, 32.5)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:24.776259,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 24.0, 24.53846153846154)","(26.0, 40.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:26.227305,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.0)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:27.702582,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 26.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:29.164594,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:30.637646,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:32.099979,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.18235294117647)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:33.634783,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.3, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:35.189954,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:36.693614,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:38.217852,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.125)"
11-01-2023 14:56:40.182193,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 35.333333333333336)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:42.072929,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.0, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:43.522642,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:45.097588,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.8)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.26923076923077)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:46.644006,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.916666666666666)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:48.288303,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.916666666666666)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:49.841451,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.1875)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:51.382920,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.1875)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:52.906468,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.5)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.1875)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:54.426175,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.55, 3.5526178010471203)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.1875)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:55.970637,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.5526178010471203)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 12.1875)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.53846153846154)","(26.0, 38.0, 36.888888888888886)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:57.595521,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.5526178010471203)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.1)","(7.5, 9.0, 8.963636363636363)","(17.0, 25.0, 24.58823529411765)","(26.0, 38.0, 34.4)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:56:59.192127,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.476086956521739)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.1)","(7.5, 9.0, 8.963636363636363)","(17.0, 26.0, 24.58823529411765)","(26.0, 36.0, 34.4)","(11.0, 13.5, 13.114035087719298)"
11-01-2023 14:57:00.765902,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4519230769230766)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 40.0)","(10.0, 13.5, 13.1)","(7.5, 9.0, 8.963636363636363)","(17.0, 26.0, 23.857142857142858)","(26.0, 36.0, 34.4)","(11.0, 13.5, 13.125)"
11-01-2023 14:57:02.336091,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 37.0)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.465)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 39.25)","(10.0, 13.5, 13.366666666666667)","(7.5, 9.0, 8.963636363636363)","(17.0, 26.0, 23.285714285714285)","(26.0, 36.0, 34.4)","(11.0, 13.5, 13.125)"
11-01-2023 14:57:03.851200,"(20.0, 27.0, 26.571428571428573)","(26.0, 42.0, 36.54545454545455)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.465)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 40.0)","(10.0, 13.5, 13.366666666666667)","(7.5, 9.0, 8.866666666666667)","(17.0, 25.0, 24.18918918918919)","(26.0, 36.0, 34.4)","(11.0, 13.5, 13.464285714285714)"
11-01-2023 14:57:05.359063,"(20.0, 27.0, 25.90909090909091)","(26.0, 42.0, 36.11764705882353)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.465)","(3.7, 4.2, 4.170434782608695)","(31.0, 48.0, 40.0)","(10.0, 13.5, 13.366666666666667)","(7.5, 9.0, 8.8)","(17.0, 25.0, 24.25)","(26.0, 36.0, 34.4)","(11.0, 14.0, 13.464285714285714)"
11-01-2023 14:57:06.862951,"(20.0, 27.0, 25.90909090909091)","(26.0, 42.0, 35.5)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.465)","(3.7, 4.2, 4.047058823529412)","(31.0, 48.0, 44.666666666666664)","(10.0, 13.5, 13.366666666666667)","(7.5, 9.0, 8.8)","(17.0, 25.0, 24.25)","(26.0, 36.0, 34.4)","(11.0, 14.0, 13.464285714285714)"
11-01-2023 14:57:08.388573,"(20.0, 27.0, 25.90909090909091)","(26.0, 42.0, 35.5)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.465)","(3.7, 4.1, 4.053246753246753)","(31.0, 48.0, 44.666666666666664)","(10.0, 13.5, 13.166666666666666)","(7.5, 9.0, 8.8)","(17.0, 25.0, 24.25)","(26.0, 36.0, 34.4)","(11.0, 14.0, 13.318181818181818)"
11-01-2023 14:57:10.007719,"(20.0, 27.0, 25.90909090909091)","(26.0, 42.0, 35.5)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.465)","(3.7, 4.1, 4.0264423076923075)","(31.0, 48.0, 44.666666666666664)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 25.0, 24.25)","(26.0, 36.0, 34.4)","(11.0, 14.0, 13.285714285714286)"
11-01-2023 14:57:11.556801,"(20.0, 27.0, 26.25)","(26.0, 42.0, 34.0)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.006707317073171)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 25.0, 22.2)","(26.0, 36.0, 31.333333333333332)","(11.0, 14.0, 13.25)"
11-01-2023 14:57:13.053740,"(20.0, 27.0, 25.5)","(26.0, 42.0, 31.6)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.052)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 24.0, 21.75)","(26.0, 36.0, 31.333333333333332)","(11.0, 14.0, 13.285714285714286)"
11-01-2023 14:57:14.506582,"(20.0, 27.0, 25.5)","(26.0, 42.0, 31.6)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.052)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 24.0, 22.0)","(26.0, 36.0, 31.333333333333332)","(11.0, 14.0, 13.285714285714286)"
11-01-2023 14:57:16.056910,"(20.0, 27.0, 25.5)","(26.0, 42.0, 29.692307692307693)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.052)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 25.0, 21.727272727272727)","(26.0, 36.0, 31.333333333333332)","(11.0, 14.0, 13.285714285714286)"
11-01-2023 14:57:17.540338,"(20.0, 27.0, 25.5)","(26.0, 42.0, 36.11764705882353)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.052)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 25.0, 21.727272727272727)","(26.0, 36.0, 34.25)","(11.0, 14.0, 13.285714285714286)"
11-01-2023 14:57:19.124048,"(20.0, 27.0, 25.90909090909091)","(26.0, 42.0, 35.5)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.052)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 25.0, 21.727272727272727)","(26.0, 36.0, 34.25)","(11.0, 14.0, 13.25)"
11-01-2023 14:57:20.720422,"(20.0, 27.0, 25.90909090909091)","(26.0, 42.0, 35.5)","(18.0, 29.0, 26.333333333333332)","(2.7, 3.55, 3.4975)","(3.7, 4.1, 4.052)","(31.0, 48.0, 41.333333333333336)","(10.0, 13.5, 13.2)","(7.5, 9.0, 8.8)","(17.0, 25.0, 22.0)","(26.0, 36.0, 34.44444444444444)","(11.0, 14.0, 13.25)"
