,Judge Jujon,Oyster Stride,The Sportz Star,The Irish Eagle,Chainlinc,King Of Trumps Nz,Whataboyjack
12-01-2023 14:23:17.149773,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:18.264312,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:19.460676,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:20.663780,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:21.802750,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:23.074302,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:24.437591,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:25.761819,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:27.022556,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:28.501911,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:29.819277,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:31.247321,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:32.503406,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:33.621926,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:34.875741,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:36.062714,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:37.221946,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:38.494435,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:39.765298,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:41.007039,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:42.236378,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:43.501690,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:44.839724,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:46.096662,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:47.292756,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:48.465483,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:49.719836,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:51.053931,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:52.220974,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:53.407466,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:54.655099,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:55.810096,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:57.111324,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:58.353069,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:59.538292,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:01.039843,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:02.315109,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:03.705798,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:04.967938,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:06.223336,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:07.382419,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:08.719143,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:09.899872,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:11.001216,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:12.106376,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:13.294882,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:14.473698,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:15.685993,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:16.833277,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:17.939911,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:19.163824,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:20.380925,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:21.545556,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:22.673047,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:23.912561,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:25.496400,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:26.688620,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:28.100792,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:29.312486,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:30.533557,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:31.641953,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:32.853786,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:34.013686,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:35.135451,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:36.187285,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:37.312378,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:38.496772,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:39.638440,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:40.826133,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:41.955448,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:43.058194,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:44.203914,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:45.424150,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:46.691148,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:47.602173,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:48.615374,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:49.893556,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:51.100912,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:52.231819,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:53.457404,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:54.595289,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:24:55.672348,"(4.6, 8.0, 7.4)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
