,Pierre Bale,Zipping Bronte,War Time Novelty,Acclaimed,Stella Girl,Blazing Arnie,Audenzia,Pandorica
10-01-2023 15:41:00.582057,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:01.781778,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:02.916578,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:04.066300,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:05.262196,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:06.475923,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:07.653859,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:08.782970,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 23.666666666666664)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:09.840748,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.8)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:10.915060,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.8)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:12.053322,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.8)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:13.218455,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.8)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:14.402841,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.666666666666668)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:15.453653,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:16.761140,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 47.55555555555556)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:18.178459,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.63636363636364)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:19.561356,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.63636363636364)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:20.847087,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.63636363636364)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:22.091760,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.18181818181819)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:23.306958,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 42.266666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:24.563651,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:25.862571,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:27.055969,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:28.182319,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:29.204988,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:30.325388,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:31.608085,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:32.863863,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:33.996669,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:35.111980,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:36.333777,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:37.528877,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:38.706980,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:39.811552,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:41.068115,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.333333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:42.349923,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:43.626761,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:44.718517,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:45.820631,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:46.947325,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:48.177228,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:49.451385,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 28.8)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:50.731066,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.90909090909091)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:51.919579,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.90909090909091)","(20.0, 170.0, 58.0)","(11.0, 32.0, 25.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:53.098274,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.90909090909091)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.2)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:54.392376,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.90909090909091)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.2)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:55.696489,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 23.666666666666664)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:56.949963,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:58.066533,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:41:59.192859,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:00.411130,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:01.761884,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:02.975670,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:04.057595,"(2.4, 2.62, 2.52)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:05.217905,"(2.4, 2.62, 2.6123076923076924)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:06.456651,"(2.4, 2.62, 2.6123076923076924)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:07.813896,"(2.4, 2.62, 2.6033333333333335)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 95.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:09.067363,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 160.0, 95.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:10.307020,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 160.0, 95.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:11.377431,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 160.0, 95.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:12.632152,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 160.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:13.880528,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.23076923076923)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:42:15.102761,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.8)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.0)","(26.0, 260.0, 134.53846153846155)"
10-01-2023 15:42:16.270627,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 2.896666666666667)","(6.5, 10.0, 6.8)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.0)","(26.0, 260.0, 134.53846153846155)"
10-01-2023 15:42:17.522203,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.212857142857143)","(6.5, 10.0, 7.0)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.0)","(26.0, 260.0, 134.53846153846155)"
10-01-2023 15:42:18.714949,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.045)","(6.5, 10.0, 7.0)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.0)","(26.0, 260.0, 134.53846153846155)"
10-01-2023 15:42:19.902199,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.212857142857143)","(6.5, 10.0, 7.0)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.0)","(26.0, 260.0, 134.53846153846155)"
10-01-2023 15:42:21.171262,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.212857142857143)","(6.5, 10.0, 7.0)","(11.0, 23.0, 21.625)","(18.0, 70.0, 43.06666666666666)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.0)","(26.0, 260.0, 134.53846153846155)"
