,Blackbrush Scott,Dont Tell Margy,Kakariki,Dewana Imagine,Nanny In Town,Highgate Billie,Copper Mountain,Dewana Be Happy
707,"[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 1.6, 1.8]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 51, 40, 68800), 6.5, 8.2]"
708,"[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 1.6, 1.79]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 41, 195258), 6.5, 8.2]"
709,"[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 1.6, 1.8]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 42, 321474), 6.5, 7.8]"
710,"[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 1.6, 1.82]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 43, 442064), 6.5, 7.4]"
711,"[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 1.6, 1.82]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 44, 573271), 6.5, 7.4]"
712,"[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 1.6, 1.82]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 45, 694564), 6.5, 7.6]"
713,"[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 3.9, 5.0]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 1.6, 1.82]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 46, 821959), 6.5, 7.4]"
714,"[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 3.9, 5.1]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 1.6, 1.83]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 47, 939683), 6.5, 7.4]"
715,"[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 3.9, 5.1]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 1.6, 1.83]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 14.0, 21.0]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 49, 66617), 6.5, 7.4]"
716,"[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 3.9, 5.1]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 1.6, 1.83]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 14.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 31.0, 110.0]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 20, 51, 50, 192936), 6.5, 7.4]"
