,Diamond Chipper,Ohoka Torey,Goldstar Linda,Aramoana,Money Bags,Maisey,Culvie Bun,Homebush Honey
08-12-2022 12:50:37.981062,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:39.410091,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:40.846363,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:42.257509,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:43.542005,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:44.867546,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:46.212028,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:47.621799,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:49.087571,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:50.554251,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:51.925442,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:53.295418,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:54.734115,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.309090909090912)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:56.102435,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.309090909090912)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:57.651765,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:50:59.158942,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:00.634794,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:02.054141,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:03.418375,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:04.886345,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:06.260415,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:07.748107,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:09.144071,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:10.500568,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:11.861009,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 18.66875)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:13.167710,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:14.655405,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:16.057378,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:17.423383,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:18.803335,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:20.130939,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:21.400407,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:22.612013,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:23.878320,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:25.174076,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:26.460210,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:27.721329,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:28.925265,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:30.191600,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:31.421866,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:32.689454,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:33.983204,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:35.230835,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:36.543609,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:37.823556,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:39.136764,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:40.476385,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:41.783081,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:43.123342,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:44.459871,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:45.772555,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:47.102421,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:48.359053,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:49.884374,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:51.385740,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:52.801849,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:54.281918,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 31.5)"
08-12-2022 12:51:55.703534,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.881666666666667)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 34.0, 29.7)"
08-12-2022 12:51:57.173667,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.935294117647057)","(4.6, 12.5, 11.504000000000001)","(12.0, 26.0, 24.2)","(14.0, 30.0, 27.6875)","(10.0, 32.0, 29.7)"
08-12-2022 12:51:58.551875,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:51:59.949159,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:01.311160,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:02.690397,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:04.083788,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:05.507968,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:06.876152,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:08.568227,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:10.256975,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:11.741639,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:13.303376,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:14.736513,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:16.188095,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:17.662332,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 19.5, 15.233333333333333)","(4.6, 12.5, 10.99230769230769)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:19.106241,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 17.0, 15.233333333333333)","(4.6, 13.0, 10.99230769230769)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:20.517656,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 17.0, 15.233333333333333)","(4.6, 13.0, 10.99230769230769)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
08-12-2022 12:52:21.852598,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.5, 2.881666666666667)","(7.0, 17.0, 15.233333333333333)","(4.6, 13.0, 10.99230769230769)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 32.0, 29.927272727272726)"
