,Debs Baby,White Snake,Sketchy Zara,Walking On Fire,White Ticket,Super Keen,Kaidee Dixie,Arrogant Suzy
12-01-2023 16:44:26.028310,"(16.0, 44.0, 27.8)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:27.224269,"(16.0, 44.0, 27.8)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:28.592979,"(16.0, 44.0, 27.8)","(3.3, 5.2, 3.84375)","(26.0, 85.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:30.008353,"(16.0, 44.0, 27.8)","(3.3, 5.2, 3.84375)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:31.370418,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 3.84375)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:32.819291,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 3.84375)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:34.219557,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 3.84375)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:35.774938,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 3.84375)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:36.960302,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 3.9944444444444445)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:38.252448,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:39.513485,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:40.772128,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:42.350793,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:43.798009,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:45.144028,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:46.381511,"(16.0, 44.0, 24.714285714285715)","(3.3, 5.2, 4.033333333333333)","(26.0, 80.0, 74.6)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
