,Dr Racheal,Nyah Nyah Demon,Hustle Nina,Be Yourself,Hot Fudge,Mini Mason,Tinker Dan,Be Little
07-12-2022 17:58:20.784407,"(10.0, 13.0, 10.934782608695652)","(1.85, 2.0, 1.9449999999999998)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 33.8)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:21.873667,"(10.0, 13.0, 10.934782608695652)","(1.85, 2.0, 1.9584615384615385)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 34.77777777777778)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:23.052068,"(10.0, 13.0, 10.934782608695652)","(1.85, 2.0, 1.9584615384615385)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 34.77777777777778)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:24.163085,"(10.0, 13.0, 10.934782608695652)","(1.85, 2.0, 1.9584615384615385)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 34.77777777777778)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:25.312633,"(10.0, 13.0, 10.934782608695652)","(1.85, 2.0, 1.9584615384615385)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 91.42857142857143)","(9.0, 14.0, 12.4)","(10.0, 36.0, 34.77777777777778)","(10.0, 19.5, 16.583333333333332)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:26.494947,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9354545454545453)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 12.210526315789474)","(10.0, 36.0, 34.77777777777778)","(10.0, 19.0, 18.75)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:27.513713,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9354545454545453)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 12.210526315789474)","(10.0, 36.0, 34.77777777777778)","(10.0, 19.0, 18.763157894736842)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:28.656054,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9354545454545453)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 12.210526315789474)","(10.0, 36.0, 34.77777777777778)","(10.0, 19.0, 18.763157894736842)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:29.793563,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9354545454545453)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 12.210526315789474)","(10.0, 36.0, 34.77777777777778)","(10.0, 19.5, 18.833333333333332)","(8.0, 19.0, 18.583333333333332)"
07-12-2022 17:58:30.907759,"(10.0, 12.5, 10.833333333333334)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.5)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.055555555555555)","(10.0, 36.0, 34.77777777777778)","(10.0, 19.5, 20.0)","(8.0, 19.0, 18.642857142857142)"
07-12-2022 17:58:32.257430,"(10.0, 12.0, 11.25)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.5)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.1)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.035714285714285)","(8.0, 19.0, 18.642857142857142)"
07-12-2022 17:58:33.499451,"(10.0, 12.0, 11.25)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.1)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.035714285714285)","(8.0, 19.0, 18.642857142857142)"
07-12-2022 17:58:34.628760,"(10.0, 12.5, 10.61111111111111)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.1)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.035714285714285)","(8.0, 19.0, 18.772727272727273)"
07-12-2022 17:58:35.658782,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 19.0, 18.772727272727273)"
07-12-2022 17:58:36.774983,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.5)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 19.0, 18.772727272727273)"
07-12-2022 17:58:37.833023,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.5)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 19.0, 18.31818181818182)"
07-12-2022 17:58:38.922831,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.607142857142858)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:39.993742,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.607142857142858)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:41.204351,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.770833333333333)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:42.429425,"(10.0, 12.5, 10.714285714285714)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.633333333333334)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:43.620784,"(10.0, 12.5, 11.021739130434783)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.666666666666667)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:44.786459,"(10.0, 12.5, 11.021739130434783)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 34.77777777777778)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:45.928389,"(10.0, 12.5, 11.021739130434783)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 36.0, 28.57142857142857)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:47.046326,"(10.0, 12.5, 11.021739130434783)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 32.0)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:48.212564,"(10.0, 12.5, 11.021739130434783)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 33.285714285714285)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:49.284735,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 33.285714285714285)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.31818181818182)"
07-12-2022 17:58:50.342289,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 33.285714285714285)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:51.398380,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.98, 1.9449999999999998)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 34.5)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:52.417282,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.97, 1.9275)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:53.436163,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.97, 1.9275)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:54.559655,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.97, 1.9275)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:55.768417,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.97, 1.9275)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:56.857210,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.97, 1.9275)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:57.994333,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.97, 1.9182608695652172)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 38.0, 37.76923076923077)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:58:59.162082,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 44.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:00.261935,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.25)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 44.0, 36.2)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:01.452085,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 44.0, 32.125)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:02.541990,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 39.0)","(10.0, 21.0, 19.166666666666668)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:03.628541,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 39.407407407407405)","(10.0, 21.0, 18.75)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:04.669806,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 39.407407407407405)","(10.0, 21.0, 17.785714285714285)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:05.737044,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 40.69230769230769)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:06.793998,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 40.69230769230769)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:07.888513,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 40.69230769230769)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:09.060408,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 86.25)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 40.69230769230769)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:10.094695,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 86.25)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 40.69230769230769)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:11.278868,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.96, 1.9514285714285713)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 86.25)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 40.69230769230769)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:12.534164,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9428571428571428)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 86.25)","(9.0, 14.0, 13.181818181818182)","(10.0, 50.0, 44.875)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:13.966153,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9428571428571428)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 81.875)","(9.0, 14.0, 13.181818181818182)","(10.0, 46.0, 44.875)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:15.298334,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9428571428571428)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 81.875)","(9.0, 14.0, 13.181818181818182)","(10.0, 46.0, 44.875)","(10.0, 21.0, 18.5)","(8.0, 18.5, 18.25)"
07-12-2022 17:59:16.578322,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9428571428571428)","(4.4, 6.0, 5.357142857142857)","(31.0, 130.0, 81.875)","(9.0, 14.0, 13.181818181818182)","(10.0, 46.0, 44.875)","(11.0, 21.0, 18.5)","(8.5, 18.5, 18.25)"
07-12-2022 17:59:18.006853,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9428571428571428)","(4.6, 6.0, 5.357142857142857)","(41.0, 130.0, 81.875)","(10.0, 14.0, 13.181818181818182)","(11.0, 46.0, 40.18181818181818)","(11.0, 21.0, 18.5)","(8.5, 18.5, 18.25)"
07-12-2022 17:59:19.331183,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9333333333333333)","(4.6, 6.0, 5.357142857142857)","(41.0, 130.0, 81.875)","(10.0, 14.0, 13.181818181818182)","(11.0, 46.0, 40.666666666666664)","(11.0, 21.0, 18.5)","(8.5, 18.5, 18.25)"
07-12-2022 17:59:20.612117,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9333333333333333)","(4.6, 6.0, 5.357142857142857)","(41.0, 130.0, 81.875)","(10.0, 14.0, 13.181818181818182)","(11.0, 46.0, 40.666666666666664)","(11.0, 21.0, 18.5)","(8.5, 18.5, 18.25)"
07-12-2022 17:59:21.953113,"(10.0, 12.5, 11.131578947368421)","(1.85, 1.95, 1.9333333333333333)","(4.6, 6.0, 5.357142857142857)","(41.0, 130.0, 81.875)","(10.0, 14.0, 13.181818181818182)","(11.0, 46.0, 42.44444444444444)","(11.0, 21.0, 18.5)","(8.5, 18.5, 18.25)"
