,Kaypat World,Aerobic Maximum,Urban Girl,Side Kick,All Vogue,Maywyn Kama,Out Of Turmoil
16-12-2022 15:01:30.650825,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 40.2)"
16-12-2022 15:01:31.768148,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 40.2)"
16-12-2022 15:01:32.791724,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 40.2)"
16-12-2022 15:01:33.863433,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.0, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.6, 8.184615384615384)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 40.2)"
16-12-2022 15:01:34.905019,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.0, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.6, 7.8)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 40.2)"
16-12-2022 15:01:35.917302,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.0, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.6, 7.8)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 40.2)"
16-12-2022 15:01:36.880353,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.0, 9.2, 6.8)","(2.8, 4.5, 3.3945454545454545)","(5.0, 9.6, 7.8)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 40.2)"
16-12-2022 15:01:37.856755,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 23.666666666666668)","(5.0, 9.2, 6.8)","(2.8, 4.5, 3.0885714285714285)","(5.0, 9.6, 7.8)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:38.925937,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.8)","(2.8, 4.5, 3.0885714285714285)","(5.0, 9.6, 7.8)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:39.911336,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.8)","(2.8, 4.5, 3.0885714285714285)","(5.0, 9.6, 7.8)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:41.052165,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.5, 3.0885714285714285)","(5.0, 9.6, 9.018181818181818)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:42.045060,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.5, 3.0885714285714285)","(5.0, 9.6, 9.018181818181818)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
