,Watching You Dream,Testarudo,The Black Assassin,Crime Dont Pay,Jaccka Lucas Nz,Dream Copy,Dressed In Gold Nz,Flashlight Dancer,Western Ron
09-01-2023 16:37:11.475947,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:12.908768,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8233333333333335)"
09-01-2023 16:37:14.176229,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:15.326684,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:16.489257,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:17.613091,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:18.855188,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:20.059109,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:21.396681,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:22.911817,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8233333333333335)"
09-01-2023 16:37:24.204089,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.87, 1.8166666666666667)"
09-01-2023 16:37:25.254733,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:26.313192,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 32.285714285714285)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:27.419934,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 33.375)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:28.631733,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 33.375)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:29.939604,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 33.375)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:31.250638,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 33.375)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:32.831791,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 33.375)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.8166666666666667)"
09-01-2023 16:37:34.250421,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 33.375)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.86, 1.81)"
09-01-2023 16:37:35.693424,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.666666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:37.042274,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.22222222222222)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:38.441408,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:39.743886,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:40.983484,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:42.273568,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:43.408906,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.81)"
09-01-2023 16:37:44.565178,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.85, 1.8033333333333335)"
09-01-2023 16:37:45.760398,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:46.904710,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:48.121204,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:49.304405,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:50.441972,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:51.670552,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:52.755194,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:53.846909,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.8033333333333335)"
09-01-2023 16:37:54.956843,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.84, 1.7966666666666666)"
09-01-2023 16:37:56.123085,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:37:57.336387,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:37:58.493556,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:37:59.698966,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:38:00.900253,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:38:02.179544,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:38:03.423987,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:38:04.585300,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 34.111111111111114)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.83, 1.7966666666666666)"
09-01-2023 16:38:05.873832,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 40.0, 27.769230769230766)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.83, 1.79)"
09-01-2023 16:38:07.101161,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 40.0, 27.769230769230766)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:08.358680,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 40.0, 32.05)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:09.723481,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 40.0, 34.25)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:10.959730,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 55.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:12.246811,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:13.460835,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:14.621108,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.79)"
09-01-2023 16:38:15.808661,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.82, 1.7627272727272727)"
09-01-2023 16:38:16.873616,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 2.0, 1.7833333333333334)"
09-01-2023 16:38:17.961132,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:19.025881,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:20.166018,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:21.267444,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:22.385834,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:23.515268,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:24.666584,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7833333333333334)"
09-01-2023 16:38:25.814717,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.81, 1.7627272727272727)"
09-01-2023 16:38:26.924581,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 2.0, 1.7766666666666666)"
09-01-2023 16:38:28.102267,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 192.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.8, 1.7766666666666666)"
09-01-2023 16:38:29.217654,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 187.5)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.8, 1.7766666666666666)"
09-01-2023 16:38:30.339618,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 194.0)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.8, 1.7766666666666666)"
09-01-2023 16:38:31.470339,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 192.0)","(41.0, 210.0, 64.22222222222223)","(14.0, 50.0, 34.791666666666664)","(21.0, 99999, 99990)","(81.0, 220.0, 157.5)","(2.0, 99999, 99990)","(18.0, 75.0, 24.15)","(1.7, 1.8, 1.7766666666666666)"
