,Gold On Black,But It Pours,Be My Express,Cosmic Franky,Lucky Bundy,Key Bon,Sketchy In By,Never Forgotten
04-01-2023 12:11:42.786719,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:43.846813,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:44.855520,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:45.913856,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:47.039965,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:48.068615,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:49.073759,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:50.081608,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:51.139811,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:52.170104,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:53.172516,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:54.358225,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:55.499753,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:56.617260,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:57.612815,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:58.582645,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:59.656990,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:00.664705,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:01.642932,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:02.631251,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:03.597689,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:04.607731,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:05.621845,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:06.649540,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:07.709639,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:08.762377,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:09.780729,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:11.012906,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:12.158270,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:13.200192,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:14.253618,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:15.325219,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:16.390162,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:17.468734,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:18.550882,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:19.615336,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:20.906822,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:22.023651,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:23.141269,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:24.277358,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:25.557544,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:26.766287,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:27.914301,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:29.059708,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:30.141525,"(1.95, 3.15, 2.89125)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:31.259435,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:32.369237,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:33.651540,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:34.813463,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:35.920638,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:37.055698,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:38.227951,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:39.304801,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:40.444340,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:41.461356,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:42.591899,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:43.683685,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:44.817673,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:45.915847,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:46.948801,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:48.086153,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:49.203997,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:50.201340,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:51.262794,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:52.344840,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:12:53.387191,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
