,Oldrik Bale,Reiko Oreo,Claretown Ryan,Raving Icon,Aston Houston,Nalani Bale,Aston Tenge,Spring Bjorn
06-01-2023 15:49:28.925385,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:30.174380,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:31.425663,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:32.613425,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:33.815307,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:35.245520,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:36.420597,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:37.619433,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:38.835440,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:40.125231,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:41.434687,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:42.630931,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:43.898017,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:44.974482,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:46.068919,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:47.435549,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:48.721186,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:50.030810,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:51.124945,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:52.229221,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:53.241352,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:54.475001,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:55.693826,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:56.842233,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:58.086399,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:59.246555,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:00.277710,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:01.478505,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:02.764854,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:03.974640,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:05.148454,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:06.338599,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:07.432435,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:08.491669,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:09.799711,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:11.031788,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:12.311827,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:13.753178,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:14.863156,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:15.890826,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:17.034336,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:18.230181,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:19.456680,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:20.725681,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:21.964598,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:23.175433,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:24.304546,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:25.600522,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:26.799942,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:28.068679,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:29.354579,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:30.479413,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:31.589403,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:50:32.647044,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.5, 9.085714285714285)"
06-01-2023 15:50:33.796395,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:34.979575,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:36.301661,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:37.568241,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:38.772445,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:39.962860,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:41.152991,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 7.819999999999999)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:42.329151,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:43.598200,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:44.752769,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:45.813429,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:46.851740,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:47.932751,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
06-01-2023 15:50:49.195801,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 8.6, 8.1)","(7.5, 18.0, 9.085714285714285)"
