,Bob,Vincenzo,Mums The Boss,Spirit Of Macher,Dark Lever,Single Babe,Tinas Rock,Whos In Winny
08-12-2022 13:07:11.740155,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.6681818181818184)","(2.4, 3.05, 2.8492307692307692)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:12.846048,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.8492307692307692)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:13.935383,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9225)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:14.993483,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.946153846153846)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:16.029777,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9535714285714283)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:17.083154,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9535714285714283)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:18.153969,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9789473684210526)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:19.253774,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9789473684210526)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:20.354819,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9789473684210526)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:21.468847,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9789473684210526)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:22.686528,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9789473684210526)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:23.873061,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 2.9789473684210526)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:25.022160,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:26.266909,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:27.423346,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:28.572717,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
