,Night Boss,Shanghai Candy,Freedom Rider,Purple Shirt,Political Decision,Missionsninetynine,Late In The Game
15-12-2022 12:49:05.773010,"(5.0, 8.8, 8.654545454545454)","(6.5, 15.0, 14.75)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.75)","(16.0, 25.0, 20.0)","(2.9, 5.4, 5.252941176470588)","(3.9, 4.7, 4.611764705882353)"
15-12-2022 12:49:06.824797,"(5.0, 8.8, 8.654545454545454)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.75)","(16.0, 25.0, 21.25)","(2.9, 5.4, 5.252941176470588)","(3.9, 4.7, 4.611764705882353)"
15-12-2022 12:49:07.860956,"(5.0, 8.8, 8.654545454545454)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.75)","(16.0, 25.0, 21.25)","(2.9, 5.4, 5.252941176470588)","(3.9, 4.7, 4.611764705882353)"
15-12-2022 12:49:08.905714,"(5.0, 8.8, 8.48)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.636363636363637)","(16.0, 34.0, 22.0)","(2.9, 5.4, 5.252941176470588)","(3.9, 4.7, 4.611764705882353)"
15-12-2022 12:49:09.967719,"(5.0, 8.8, 8.48)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.636363636363637)","(16.0, 34.0, 24.4)","(2.9, 5.4, 5.24375)","(3.9, 4.7, 4.3999999999999995)"
15-12-2022 12:49:11.059570,"(5.0, 8.8, 8.48)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.636363636363637)","(16.0, 34.0, 24.4)","(2.9, 5.4, 5.24375)","(3.9, 4.6, 4.514285714285714)"
15-12-2022 12:49:12.124397,"(5.0, 8.8, 8.48)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.71875)","(7.5, 13.0, 11.75)","(16.0, 34.0, 25.0)","(2.9, 5.4, 5.24375)","(3.9, 4.6, 4.4222222222222225)"
15-12-2022 12:49:13.153915,"(5.0, 8.8, 8.666666666666668)","(6.5, 15.0, 14.863636363636363)","(2.25, 3.85, 3.71875)","(7.5, 13.0, 11.75)","(16.0, 32.0, 25.0)","(2.9, 5.4, 5.268421052631579)","(3.9, 4.6, 4.525925925925925)"
15-12-2022 12:49:14.320819,"(5.0, 8.8, 8.666666666666668)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.728846153846154)","(7.5, 13.0, 11.75)","(16.0, 32.0, 25.0)","(2.9, 5.4, 5.268421052631579)","(3.9, 4.6, 4.525925925925925)"
15-12-2022 12:49:15.420024,"(5.0, 8.8, 8.666666666666668)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.728846153846154)","(7.5, 13.0, 11.75)","(16.0, 32.0, 25.0)","(2.9, 5.4, 5.268421052631579)","(3.9, 4.6, 4.525925925925925)"
15-12-2022 12:49:16.531952,"(5.0, 8.8, 8.666666666666668)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.728846153846154)","(7.5, 13.0, 11.75)","(16.0, 32.0, 25.0)","(2.9, 5.4, 5.28888888888889)","(3.9, 4.6, 4.525925925925925)"
15-12-2022 12:49:17.586849,"(5.0, 9.0, 8.194444444444445)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.6919354838709677)","(7.5, 13.0, 11.75)","(16.0, 32.0, 26.6)","(2.9, 5.4, 5.28888888888889)","(3.9, 4.6, 4.525925925925925)"
15-12-2022 12:49:18.692776,"(5.0, 9.0, 8.194444444444445)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.6919354838709677)","(7.5, 13.0, 11.75)","(16.0, 32.0, 26.6)","(2.9, 5.4, 5.28888888888889)","(3.9, 4.6, 4.648571428571429)"
15-12-2022 12:49:19.779383,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.6919354838709677)","(7.5, 13.0, 11.75)","(16.0, 32.0, 26.6)","(2.9, 5.4, 5.28888888888889)","(3.9, 4.7, 4.5125)"
15-12-2022 12:49:20.907041,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.6919354838709677)","(7.5, 13.0, 11.75)","(16.0, 32.0, 26.6)","(2.9, 5.4, 5.28888888888889)","(3.9, 4.7, 4.5125)"
15-12-2022 12:49:22.029427,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.6919354838709677)","(7.5, 13.0, 11.75)","(16.0, 32.0, 26.6)","(2.9, 5.4, 5.28888888888889)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:23.109118,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.6919354838709677)","(7.5, 13.0, 12.3125)","(16.0, 32.0, 27.5)","(2.9, 5.4, 5.278378378378378)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:24.086509,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.696875)","(7.5, 13.0, 12.083333333333334)","(16.0, 32.0, 27.5)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:25.030542,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 32.0, 27.5)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:26.050239,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 32.0, 27.5)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:27.112983,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 32.0, 27.5)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:28.170343,"(5.0, 9.0, 8.251612903225805)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 32.0, 22.375)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:29.140625,"(5.0, 9.0, 8.216216216216216)","(6.5, 15.0, 14.884615384615385)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:30.060459,"(5.0, 9.0, 8.216216216216216)","(6.5, 15.0, 14.5)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 34.0, 22.0)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:31.082111,"(5.0, 9.0, 8.216216216216216)","(6.5, 15.0, 14.5)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 34.0, 22.0)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:32.191931,"(5.0, 9.0, 8.216216216216216)","(6.5, 15.0, 14.5)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:33.228038,"(5.0, 9.0, 8.216216216216216)","(6.5, 15.0, 14.5)","(2.25, 3.85, 3.7333333333333334)","(7.5, 13.0, 12.083333333333334)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.284615384615385)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:34.316959,"(5.0, 8.8, 8.622222222222224)","(6.5, 15.0, 14.875)","(2.25, 3.85, 3.592857142857143)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:35.360705,"(5.0, 8.8, 8.622222222222224)","(6.5, 15.0, 14.875)","(2.25, 3.8, 3.62)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.0)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:36.467501,"(5.0, 8.8, 8.622222222222224)","(6.5, 16.0, 15.272727272727273)","(2.25, 3.8, 3.5545454545454547)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.0)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:37.641935,"(5.0, 8.8, 8.622222222222224)","(6.5, 16.0, 15.272727272727273)","(2.25, 3.8, 3.5545454545454547)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:38.855981,"(5.0, 8.8, 8.622222222222224)","(6.5, 16.0, 15.272727272727273)","(2.25, 3.8, 3.5545454545454547)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:39.955608,"(5.0, 8.8, 8.663636363636364)","(6.5, 16.0, 15.272727272727273)","(2.25, 3.8, 3.5545454545454547)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.0)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:40.966852,"(5.0, 8.8, 8.663636363636364)","(6.5, 16.0, 15.272727272727273)","(2.25, 3.8, 3.5545454545454547)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:41.936585,"(5.0, 8.8, 8.663636363636364)","(6.5, 16.0, 15.272727272727273)","(2.25, 3.8, 3.5545454545454547)","(7.5, 12.5, 12.3)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:43.031948,"(5.0, 8.8, 8.663636363636364)","(6.5, 16.0, 15.4)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.368421052631579)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:44.113064,"(5.0, 8.6, 8.36)","(6.5, 16.0, 15.1)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.368421052631579)","(16.0, 34.0, 26.0)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:45.242506,"(5.0, 8.6, 8.36)","(6.5, 16.0, 15.1)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:46.252681,"(5.0, 8.8, 8.72)","(6.5, 16.0, 15.1)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:47.251877,"(5.0, 8.8, 8.72)","(6.5, 16.0, 15.1)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:48.317129,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:49.389437,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:50.514539,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:51.608789,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.46)"
15-12-2022 12:49:52.684119,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:53.753460,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:54.814647,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:55.803536,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.166666666666666)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:56.816513,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.772727272727273)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:57.839667,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.772727272727273)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:58.834910,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.772727272727273)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.25)","(16.0, 34.0, 27.142857142857142)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:49:59.890026,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.772727272727273)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.4)","(16.0, 34.0, 28.666666666666664)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:01.027895,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.772727272727273)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.4)","(16.0, 34.0, 26.0)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:02.136423,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.772727272727273)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.368421052631579)","(16.0, 34.0, 26.0)","(2.9, 5.4, 5.267647058823529)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:03.276174,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.5)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.368421052631579)","(16.0, 34.0, 26.0)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:04.390136,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.5)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:05.547221,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:06.622496,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:07.579984,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:08.645594,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:09.755186,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(16.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.9, 4.7, 4.679310344827586)"
15-12-2022 12:50:10.906960,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(17.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.8, 4.7, 4.679310344827586)"
15-12-2022 12:50:11.948289,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(17.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.8, 4.7, 4.679310344827586)"
15-12-2022 12:50:12.892839,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.642857142857142)","(2.25, 3.8, 3.5666666666666664)","(7.5, 13.0, 12.4)","(17.0, 34.0, 22.375)","(2.9, 5.4, 5.271428571428572)","(3.8, 4.7, 4.679310344827586)"
15-12-2022 12:50:14.052655,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.59)","(7.5, 13.0, 12.4)","(17.0, 34.0, 22.375)","(2.9, 5.4, 5.175000000000001)","(3.8, 4.7, 4.407692307692308)"
15-12-2022 12:50:15.190796,"(5.0, 8.8, 8.72)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 34.0, 25.0)","(2.9, 5.4, 5.244827586206897)","(3.8, 4.5, 4.467567567567568)"
15-12-2022 12:50:16.379912,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 34.0, 25.0)","(2.9, 5.4, 5.244827586206897)","(3.8, 4.5, 4.467567567567568)"
15-12-2022 12:50:17.485992,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 34.0, 25.0)","(2.9, 5.4, 5.244827586206897)","(3.8, 4.5, 4.467567567567568)"
15-12-2022 12:50:18.590906,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 32.0, 25.75)","(2.9, 5.4, 5.244827586206897)","(3.8, 4.5, 4.447826086956522)"
15-12-2022 12:50:19.654185,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 32.0, 25.75)","(2.9, 5.4, 5.08235294117647)","(3.8, 4.5, 4.447826086956522)"
15-12-2022 12:50:20.845997,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 32.0, 24.0)","(2.9, 5.4, 5.015384615384615)","(3.8, 4.5, 4.447826086956522)"
15-12-2022 12:50:21.935052,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.695)","(7.5, 13.0, 12.478260869565217)","(17.0, 32.0, 24.0)","(2.9, 5.4, 5.015384615384615)","(3.8, 4.5, 4.447826086956522)"
15-12-2022 12:50:23.155687,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.6541666666666663)","(7.5, 13.0, 11.875)","(17.0, 32.0, 24.0)","(2.9, 5.3, 5.0600000000000005)","(3.8, 4.5, 4.447826086956522)"
15-12-2022 12:50:24.230158,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.6541666666666663)","(7.5, 13.0, 11.875)","(17.0, 32.0, 29.5)","(2.9, 5.3, 5.0600000000000005)","(3.8, 4.5, 4.447826086956522)"
15-12-2022 12:50:25.296592,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.6541666666666663)","(7.5, 13.0, 11.875)","(17.0, 32.0, 29.5)","(2.9, 5.3, 5.0600000000000005)","(3.8, 4.5, 4.463636363636364)"
15-12-2022 12:50:26.302523,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.6541666666666663)","(7.5, 13.0, 11.875)","(17.0, 32.0, 29.5)","(2.9, 5.3, 5.0600000000000005)","(3.8, 4.5, 4.405882352941177)"
15-12-2022 12:50:27.482138,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.7204545454545452)","(7.5, 13.0, 11.875)","(17.0, 32.0, 29.916666666666668)","(2.9, 5.3, 4.95)","(3.8, 4.5, 4.283333333333333)"
15-12-2022 12:50:28.563843,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 15.3)","(2.25, 3.8, 3.7204545454545452)","(7.5, 13.0, 11.875)","(17.0, 32.0, 29.916666666666668)","(2.9, 5.3, 4.95)","(3.8, 4.5, 4.252380952380952)"
15-12-2022 12:50:29.596211,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 16.055555555555557)","(2.25, 3.8, 3.7204545454545452)","(7.5, 13.0, 11.875)","(17.0, 32.0, 24.0)","(2.9, 5.3, 4.95)","(3.8, 4.5, 4.164516129032258)"
15-12-2022 12:50:30.870515,"(5.0, 8.8, 8.746666666666668)","(6.5, 16.5, 16.055555555555557)","(2.25, 3.8, 3.7204545454545452)","(7.5, 13.0, 11.875)","(17.0, 32.0, 24.0)","(2.9, 5.3, 5.0600000000000005)","(3.8, 4.5, 4.164516129032258)"
