,Hazey Roy,Miss Maddy Lee,Chasing Clout,Purdys Chance,Bob Barker
10-01-2023 13:09:10.725220,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:11.638610,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:12.504048,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:13.480815,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:14.433610,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:15.307037,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:16.165020,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:17.146823,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:18.085890,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:18.920782,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:19.860281,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:20.937892,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:22.002211,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:22.983581,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:23.992005,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:24.869052,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:25.767642,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:26.787156,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:27.744194,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:28.596158,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:29.615971,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:30.588864,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:31.433470,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:32.419457,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:33.381478,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:34.292352,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:35.118558,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:36.049504,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
