,Opawa Richard,Hes Iconic,Uncle Albert,Big Time Foxy,Redeem A Rapper,Mow Cow,Opawa Amiekay
04-01-2023 10:09:00.832371,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:01.768293,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:02.759067,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:03.693045,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:04.613651,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:05.532787,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:06.456709,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:07.394689,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:08.339401,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:09.271204,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:10.180579,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:11.072186,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:11.969488,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:12.846401,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:13.755268,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:14.678631,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:15.565521,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:16.484713,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:17.413673,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:18.393049,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:19.314907,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:20.227690,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:21.147473,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:22.061231,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:22.948755,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:23.875389,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:24.813141,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:25.772550,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:26.687280,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:27.561974,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:28.444087,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:29.328708,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:30.215749,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:31.148586,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:32.054326,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:32.990767,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:33.901784,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:34.836808,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:35.721873,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:36.632311,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:37.546962,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:38.463714,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:39.395146,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:40.361107,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:41.277092,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:42.175443,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:43.100998,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:44.020681,"(3.6, 9.6, 7.052631578947368)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:44.936052,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:45.823973,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:46.758466,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:47.676013,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:48.606906,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:49.597145,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:50.594400,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:51.566918,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:52.499984,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:53.451465,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:54.380134,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:55.295245,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:56.206332,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:57.157696,"(3.6, 10.0, 7.284210526315789)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:58.040473,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:58.981196,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:09:59.869457,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:00.810399,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:01.705935,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:02.627804,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:03.538223,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:04.475883,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:05.437549,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:06.423154,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:07.380513,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:08.329119,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:09.262719,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:10.190914,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:11.151910,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:12.075531,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:13.030813,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:13.924252,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:14.847445,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:10:15.759606,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 65.0, 56.58333333333333)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.4, 4.676)","(2.9, 4.7, 4.446808510638298)"
