,Claim The Crown,Huon,Rockribbed,Go Troppo,Luvoir,Unamerican,Three Kings,Catapult,Ka Bling,Time Raid,Cadetship,Butchnbugs
04-01-2023 16:13:08.880428,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 141.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.956521739130435)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:13:10.770587,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.928571428571429)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 14.0)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 69.14285714285714)"
04-01-2023 16:13:12.473075,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.928571428571429)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 14.0)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 69.14285714285714)"
04-01-2023 16:13:14.127456,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.928571428571429)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 14.0)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 69.14285714285714)"
04-01-2023 16:13:15.791240,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 138.75)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:17.408320,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 120.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:19.009877,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 120.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:20.666692,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 120.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:22.284514,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 120.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:23.942742,"(21.0, 38.0, 31.076923076923077)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 120.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:25.639910,"(21.0, 38.0, 34.4)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 120.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:27.330961,"(21.0, 36.0, 34.4)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 134.16666666666669)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:28.974886,"(21.0, 36.0, 34.4)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 139.44444444444446)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:30.571472,"(21.0, 36.0, 34.4)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 139.44444444444446)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:32.215913,"(21.0, 36.0, 34.4)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 139.44444444444446)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:33.753990,"(21.0, 36.0, 34.4)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 139.44444444444446)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:35.196740,"(21.0, 36.0, 32.57142857142857)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 139.44444444444446)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 191.42857142857142)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:36.616961,"(21.0, 36.0, 32.57142857142857)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 191.42857142857142)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:38.038730,"(21.0, 36.0, 32.57142857142857)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 191.42857142857142)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:39.491819,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 191.42857142857142)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:40.888979,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 135.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 191.42857142857142)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:42.272807,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.857142857142858)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:43.766610,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.6)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.153846153846153)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:45.186244,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.6)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:46.518157,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:47.914497,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:49.325922,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:50.853824,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:52.407705,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 140.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:53.828389,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:55.293592,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.8)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:56.786968,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:58.256953,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:13:59.750061,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:01.277737,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:02.690698,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:04.039850,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:05.384442,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:06.769495,"(21.0, 36.0, 30.90909090909091)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.2)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:08.230214,"(21.0, 36.0, 30.285714285714285)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.25)","(9.0, 15.0, 14.342105263157894)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
04-01-2023 16:14:09.643776,"(21.0, 36.0, 30.285714285714285)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.5, 10.9)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 107.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 27.4)","(9.0, 15.0, 14.342105263157894)","(31.0, 240.0, 202.22222222222223)","(4.4, 99999, 99990)","(31.0, 80.0, 72.4)"
