,Its Cleo,Hendy,Feel The Magic,Thatll Do Neo,Jimmy The Singer,Cashmere Kaos,Mortons Jilliby,Nine Nine
08-01-2023 13:20:22.983181,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:24.186280,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:25.325452,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:26.477960,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:27.671178,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:28.847566,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:29.999521,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:31.090535,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:32.270998,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:33.453114,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:34.665277,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:35.772933,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:36.962254,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:38.158887,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.228571428571428)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:39.527281,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.275)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:40.734300,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:41.950209,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:43.224525,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:44.490925,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:45.970182,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:47.290772,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:48.685409,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:50.477910,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:52.101514,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:53.463629,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:54.775892,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:56.121779,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:57.387645,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:58.567195,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:20:59.862427,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:21:01.061552,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:21:02.283004,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:21:03.421648,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.985454545454545)"
08-01-2023 13:21:04.534430,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:05.779323,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:07.042285,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:08.287393,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:09.586642,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.057142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:10.793758,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.085714285714285)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:12.003677,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.085714285714285)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:13.254964,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.7)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 4.545454545454545)"
08-01-2023 13:21:14.522895,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.7)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:21:15.826293,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.7)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:21:17.057899,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:21:18.270275,"(31.0, 290.0, 146.66666666666669)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:21:19.516461,"(31.0, 290.0, 161.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:20.773534,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:22.024056,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:23.270036,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:24.448127,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:25.690495,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:26.942213,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:28.204410,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:29.469084,"(31.0, 290.0, 162.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:30.647021,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:31.819664,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:33.008121,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:34.366684,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:35.706445,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:36.937070,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:38.413554,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.833333333333332)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:39.942542,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.17142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:41.299508,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.17142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:42.566661,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.17142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:44.030414,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 20.17142857142857)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:45.517289,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:46.839587,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:48.164185,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:49.436238,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:50.760043,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:52.021332,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
08-01-2023 13:21:53.321888,"(31.0, 290.0, 102.85714285714286)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 18.85)","(4.2, 6.8, 5.938461538461539)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.066666666666666)"
