,Skip The Bull,Ice Bar,Rey O Reyes,Ingreido,Earthquakedirector,Tweet This,Feisty Kitten,Lunar Image,Suleman
06-01-2023 13:18:33.915777,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:35.223459,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:36.556932,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:37.980511,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:39.308338,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:40.621837,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:41.904253,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:43.323598,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:44.713135,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:46.020831,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.74)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:47.276313,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.74)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:48.520583,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.74)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:49.868995,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.74)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:51.199871,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.855555555555556)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:52.496262,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.855555555555556)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:53.791511,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.855555555555556)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:55.053144,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.855555555555556)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:56.308380,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.855555555555556)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:57.778641,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.876470588235295)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:18:59.161277,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.876470588235295)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
