,Avvertimento,Blazing Sunrise,Dissonance,Lady Tabloid,Discreet Miss,Cider Bite,Spritely Emily,Talent Award
08-01-2023 13:18:01.096452,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 7.628571428571428)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:02.137717,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 7.666666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:03.246798,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.0, 7.666666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:04.328681,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.0, 7.666666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:05.443378,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.0, 7.666666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:06.594817,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.666666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:07.759076,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:08.890178,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 8.5)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:10.047138,"(9.0, 13.5, 12.8)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 8.5)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:11.078898,"(9.0, 13.5, 12.0)","(7.0, 14.0, 10.850000000000001)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.857142857142857)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:12.105749,"(9.0, 13.5, 12.0)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:13.108424,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:14.193869,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:15.337243,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:16.415018,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:17.481738,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:18.552335,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:19.682646,"(9.0, 14.0, 11.5)","(7.0, 13.5, 11.033333333333333)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:20.804057,"(9.0, 14.0, 11.5)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
