,Lamont Bale,Caps Lock On,Rogue Temptation,Specter Litt,Hoppy Bob,Bigsy,Summer Daze,Jasper Bale
15-12-2022 15:14:30.332284,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.6, 8.6, 6.935483870967742)"
15-12-2022 15:14:31.497726,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.6, 8.6, 6.935483870967742)"
15-12-2022 15:14:32.684620,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.6, 8.6, 6.935483870967742)"
15-12-2022 15:14:33.900121,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.6, 8.6, 6.935483870967742)"
15-12-2022 15:14:35.132761,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.6, 8.6, 6.935483870967742)"
15-12-2022 15:14:36.282999,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.6, 8.6, 6.935483870967742)"
15-12-2022 15:14:37.390620,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:38.595623,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:39.628571,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:40.740812,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:41.871223,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:43.040080,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:44.249072,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:45.327313,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:46.432210,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:47.641652,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:48.900746,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:50.181150,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:51.406196,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:52.535673,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:53.675949,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:54.758264,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:55.931074,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.845833333333333)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:57.173692,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:58.317486,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 6.935483870967742)"
15-12-2022 15:14:59.437083,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:00.570626,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:01.654822,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 640.0, 345.0)","(18.0, 42.0, 27.5)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:02.774332,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 640.0, 345.0)","(18.0, 42.0, 27.5)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:03.954247,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 640.0, 345.0)","(18.0, 42.0, 27.5)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:05.174842,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 640.0, 345.0)","(18.0, 42.0, 27.5)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:06.463855,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 640.0, 345.0)","(18.0, 42.0, 29.708333333333336)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.4, 8.6, 7.427906976744186)"
15-12-2022 15:15:07.708034,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 640.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:08.877220,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:10.108828,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:11.246087,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:12.293822,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:13.429139,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:14.671044,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.85)"
15-12-2022 15:15:15.875833,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:17.047777,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:18.145561,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:19.346281,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:20.554356,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:21.767306,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:22.896386,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:23.999204,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:25.106484,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:26.266801,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:27.467951,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:28.570681,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:29.550918,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:30.669782,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 7.794029850746268)"
15-12-2022 15:15:31.899906,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 6.896774193548387)"
15-12-2022 15:15:33.191893,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 6.896774193548387)"
15-12-2022 15:15:34.444600,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 6.896774193548387)"
15-12-2022 15:15:35.579271,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.26)","(4.2, 7.2, 6.555769230769231)","(4.4, 8.6, 6.896774193548387)"
15-12-2022 15:15:36.698050,"(10.0, 21.0, 16.714285714285715)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:37.787322,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:38.995585,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:40.249627,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:41.422641,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:42.458260,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:43.570366,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
15-12-2022 15:15:44.687249,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.419512195121952)","(4.2, 7.2, 6.2480769230769235)","(4.4, 8.6, 7.761904761904761)"
