,Bethencourt,Five Crowns,Momack,Shaka Rock,Galaxy Belle,Awesome Lad,Diva Bella,Showtime Lady,Oakfield Prince,Sonic Tycoon,Burning Need,La Jolie Fille,Ella Te Ama,Izfallingdown,Tornado Light
15-12-2022 15:39:22.617352,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:24.281158,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:26.047732,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 83.125)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 43.0)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:27.767328,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 83.125)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 43.0)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:29.522942,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 83.125)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 43.0)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:31.246275,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 83.125)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 43.0)","(6.0, 7.2, 7.12)","(10.0, 13.0, 12.75)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:33.071561,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 13.666666666666666)","(31.0, 100.0, 83.125)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 43.0)","(6.0, 7.2, 7.12)","(10.0, 14.0, 12.75)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:34.804421,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 13.666666666666666)","(31.0, 100.0, 83.125)","(9.0, 13.5, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.12)","(10.0, 14.0, 11.772727272727273)","(26.0, 50.0, 45.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:36.535086,"(3.9, 5.1, 4.976470588235294)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 13.714285714285714)","(31.0, 100.0, 83.125)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.142857142857142)","(10.0, 14.5, 14.1)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.12)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 47.0)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:38.265136,"(3.9, 5.1, 4.976470588235294)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.142857142857142)","(10.0, 14.5, 14.1)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.12)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 47.0)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:40.022173,"(3.9, 5.1, 4.976470588235294)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.142857142857142)","(10.0, 14.5, 14.1)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.12)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 47.0)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:42.112005,"(3.9, 5.1, 4.976470588235294)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.142857142857142)","(10.0, 14.5, 14.1)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.12)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 47.0)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:44.103240,"(3.9, 5.1, 4.976470588235294)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.142857142857142)","(10.0, 14.5, 14.1)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 47.0)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:46.146650,"(3.9, 5.1, 5.052272727272727)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.142857142857142)","(10.0, 14.5, 14.1)","(31.0, 50.0, 41.6)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 47.0)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:47.979773,"(3.9, 5.1, 5.052272727272727)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.5, 12.785714285714286)","(31.0, 50.0, 37.473684210526315)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 210.0, 153.33333333333334)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:49.969747,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 50.0, 37.473684210526315)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 210.0, 153.33333333333334)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:51.927205,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 50.0, 37.473684210526315)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 210.0, 153.33333333333334)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:54.031092,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 83.125)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 50.0, 37.473684210526315)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 210.0, 153.33333333333334)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:56.160744,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 83.125)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 50.0, 37.473684210526315)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 210.0, 153.33333333333334)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:57.993805,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 83.125)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 50.0, 42.0)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 200.0, 184.44444444444446)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:59.786800,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 83.125)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 48.0, 42.0)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 200.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:01.432399,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 83.125)","(9.0, 13.0, 12.97872340425532)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.785714285714286)","(31.0, 48.0, 42.0)","(6.0, 7.2, 7.056)","(10.0, 12.5, 11.772727272727273)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.75)","(71.0, 190.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:03.186589,"(3.9, 5.1, 5.063157894736841)","(19.0, 34.0, 28.41860465116279)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 66.25)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.733333333333333)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 48.0, 42.0)","(6.0, 7.2, 6.96)","(10.0, 12.5, 11.966666666666667)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.814285714285715)","(71.0, 190.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:04.947877,"(3.9, 5.1, 5.066666666666666)","(19.0, 34.0, 29.454545454545453)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 73.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.65)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 48.0, 42.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 11.966666666666667)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.814285714285715)","(71.0, 190.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:06.633366,"(3.9, 5.1, 5.066666666666666)","(19.0, 34.0, 29.454545454545453)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 73.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.65)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 48.0, 42.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 11.75)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.814285714285715)","(71.0, 190.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:08.451432,"(3.9, 5.1, 5.066666666666666)","(19.0, 34.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 48.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.5)","(71.0, 190.0, 168.88888888888889)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:10.198162,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.0, 13.5)","(71.0, 180.0, 161.11111111111111)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:11.817747,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.0, 13.5)","(71.0, 170.0, 161.11111111111111)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:13.547828,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.0, 12.755555555555556)","(71.0, 170.0, 161.11111111111111)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:15.200954,"(3.9, 5.1, 5.066666666666666)","(19.0, 34.0, 29.454545454545453)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 15.0, 12.755555555555556)","(71.0, 170.0, 141.25)","(101.0, 610.0, 265.0)"
15-12-2022 15:40:16.880709,"(3.9, 5.1, 5.066666666666666)","(19.0, 34.0, 29.454545454545453)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.5, 13.5)","(71.0, 160.0, 147.5)","(101.0, 610.0, 453.3333333333333)"
15-12-2022 15:40:18.597133,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.0, 13.5)","(71.0, 160.0, 141.25)","(101.0, 610.0, 453.3333333333333)"
15-12-2022 15:40:20.401254,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.0, 13.5)","(71.0, 160.0, 141.25)","(101.0, 610.0, 453.3333333333333)"
15-12-2022 15:40:22.056537,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 76.0)","(9.0, 13.0, 12.980392156862745)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 25.071428571428573)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 12.0)","(26.0, 50.0, 44.42857142857143)","(11.0, 14.0, 13.5)","(71.0, 160.0, 141.25)","(101.0, 610.0, 453.3333333333333)"
15-12-2022 15:40:23.730119,"(3.9, 5.1, 5.066666666666666)","(19.0, 32.0, 29.46511627906977)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 82.85714285714286)","(9.0, 13.0, 13.31578947368421)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 24.074074074074073)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 12.5, 13.0)","(26.0, 50.0, 45.142857142857146)","(11.0, 14.0, 12.755555555555556)","(71.0, 160.0, 141.25)","(101.0, 610.0, 453.3333333333333)"
15-12-2022 15:40:25.395427,"(3.9, 5.1, 5.059615384615384)","(19.0, 34.0, 31.0)","(12.0, 15.0, 14.076923076923077)","(31.0, 100.0, 82.85714285714286)","(9.0, 13.5, 13.31578947368421)","(6.5, 8.4, 7.828571428571428)","(19.0, 26.0, 24.074074074074073)","(10.0, 14.0, 12.98)","(31.0, 44.0, 40.0)","(6.0, 7.2, 6.933333333333334)","(10.0, 13.5, 12.6)","(26.0, 48.0, 43.714285714285715)","(11.0, 15.0, 13.5)","(71.0, 160.0, 141.25)","(101.0, 610.0, 453.3333333333333)"
