,Talkerup Nz,Malinjang,Cheddar Made Beta Nz,Royal Princess,Windy Hill Wally,Mister Artikulate,Charlevoix,Midnight Somewhere,Whostolemypigeon
08-12-2022 14:03:43.128550,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:44.704166,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:46.307551,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:47.966990,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:49.468088,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:50.992358,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:52.534902,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:54.144255,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:55.687872,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:57.234630,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:58.880316,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:04:00.473894,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:04:01.991588,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:04:03.490479,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:04:04.977722,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:04:06.543278,"(4.2, 99999, 99990)","(10.0, 18.5, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 8.0, 6.4799999999999995)","(11.0, 19.5, 15.08)","(41.0, 120.0, 89.42857142857143)","(4.8, 8.0, 6.6)","(3.0, 4.9, 4.279999999999999)","(12.0, 26.0, 17.75)"
08-12-2022 14:04:08.019442,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:09.503183,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:10.988242,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:12.511307,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:13.902610,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:15.474285,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:16.931196,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:18.369225,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:19.831070,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:21.271228,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:22.692950,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:24.073272,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:25.411835,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:26.768460,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:28.182209,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:29.671521,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:31.019763,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:32.339662,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:33.694571,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:35.105020,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:36.610556,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:38.350543,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:40.024572,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:41.590255,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:43.203163,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:44.786078,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:46.297121,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:47.767500,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:49.161888,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:50.525571,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:51.966617,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:53.545780,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:55.126418,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:56.641858,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:58.140863,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:04:59.575555,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:01.100334,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:02.582664,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:04.038056,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:05.462723,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:06.857080,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:08.258004,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:09.730389,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:11.237069,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:12.749178,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:14.206585,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:15.666498,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:17.138884,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:18.683578,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:20.281680,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:21.838288,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:23.361833,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
08-12-2022 14:05:24.875306,"(4.2, 99999, 99990)","(10.0, 18.0, 13.333333333333334)","(21.0, 99999, 99990)","(5.0, 7.8, 6.4799999999999995)","(11.0, 19.0, 15.08)","(41.0, 110.0, 89.42857142857143)","(4.8, 7.8, 6.6)","(3.0, 4.8, 4.279999999999999)","(12.0, 25.0, 17.75)"
