,Delightful Gnp Nz,Sabreur Nz,Toby Ogara Nz,Secret Operation,Double O Heaven Nz,Animal,Harry Ovens,Steam Cleaned
12-01-2023 15:42:14.879118,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:16.125728,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:17.406065,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:18.668209,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:19.989111,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:21.183324,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:22.341652,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:23.515955,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:24.734962,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:25.856996,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:27.016110,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:28.414991,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:29.710972,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:30.910233,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:32.273644,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:33.668918,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:34.936052,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:36.282603,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:37.471744,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:38.655061,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:39.988880,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:41.074196,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:42.186151,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:43.427299,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:44.689561,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:45.889692,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:46.979086,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:48.069067,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:49.357740,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:50.601332,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:51.765348,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:52.940533,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:54.119474,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:55.272756,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:56.408138,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:57.479307,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:58.704353,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:59.855680,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:43:01.053781,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:43:02.224360,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:03.222001,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:04.328067,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:05.471984,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:06.701858,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:07.959566,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:09.128060,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:10.171885,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:11.350542,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:12.504853,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:13.659079,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:14.734754,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:15.868458,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.2, 7.0, 6.127272727272727)"
12-01-2023 15:43:17.113752,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:18.292972,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:19.426030,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:20.552940,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:21.725855,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.6875)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 20.333333333333332)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:23.017092,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:24.250427,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.127272727272727)"
12-01-2023 15:43:25.347179,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:26.497190,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:27.638508,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:28.892012,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:30.007396,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:31.129395,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:32.299532,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:33.453206,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:34.604035,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:35.708522,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.107142857142858)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:36.879329,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.2, 5.571428571428571)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:38.115496,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:39.418124,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:40.623870,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:41.822024,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:43.044829,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:44.321407,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 24.833333333333336)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:45.498054,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:46.680067,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:47.878878,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:49.070028,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:50.252827,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:51.489284,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:52.722940,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:53.942000,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 27.142857142857142)","(4.0, 7.0, 6.822222222222222)"
12-01-2023 15:43:55.129373,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.0, 5.4375)","(4.0, 99999, 99990)","(3.7, 5.8, 5.0125)","(15.0, 29.0, 22.5)","(4.0, 7.0, 6.822222222222222)"
