,Venting,Stately Star,Laelaps,Alchian,Sheezabigdeel,Master Of Zerprise,Sports Idol,Raise The Colours,If You Leave,Albanian Eagle,Chattering,Bungalally Babe
06-01-2023 13:47:11.927707,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.016666666666667)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 5.933333333333334)","(15.0, 25.0, 22.5)","(19.0, 29.0, 26.2)","(7.0, 8.2, 8.018181818181818)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:13.373607,"(7.5, 99999, 99990)","(13.0, 16.5, 15.5)","(4.8, 7.2, 7.016666666666667)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 5.866666666666666)","(15.0, 25.0, 22.5)","(19.0, 29.0, 28.176470588235293)","(7.0, 8.2, 8.018181818181818)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:14.866419,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 7.016666666666667)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.030769230769231)","(15.0, 25.0, 22.5)","(19.0, 29.0, 28.176470588235293)","(7.0, 8.2, 8.018181818181818)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:16.255084,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 7.016666666666667)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 5.866666666666666)","(15.0, 25.0, 22.5)","(19.0, 29.0, 28.22222222222222)","(7.0, 8.2, 8.00952380952381)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 132.5)"
06-01-2023 13:47:17.666478,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 7.016666666666667)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 5.866666666666666)","(15.0, 25.0, 22.5)","(19.0, 29.0, 27.5)","(7.0, 8.2, 8.00952380952381)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 132.5)"
06-01-2023 13:47:19.094189,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 7.016666666666667)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 5.866666666666666)","(15.0, 25.0, 22.5)","(19.0, 32.0, 29.066666666666666)","(7.0, 8.2, 8.00952380952381)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 132.5)"
06-01-2023 13:47:20.596177,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 22.5)","(19.0, 30.0, 29.066666666666666)","(7.0, 8.2, 8.00952380952381)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 123.33333333333333)"
06-01-2023 13:47:22.008247,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 22.5)","(19.0, 30.0, 29.066666666666666)","(7.0, 8.2, 8.10625)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:23.455039,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 22.5)","(19.0, 30.0, 27.666666666666668)","(7.0, 8.2, 8.10625)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:24.848721,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 22.5)","(19.0, 30.0, 27.666666666666668)","(7.0, 8.2, 8.10625)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:26.276262,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 22.5)","(19.0, 30.0, 27.6)","(7.0, 8.2, 8.10625)","(13.0, 16.5, 15.977142857142857)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:27.682384,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 22.5)","(19.0, 30.0, 28.8)","(7.0, 8.2, 8.116666666666665)","(13.0, 16.0, 16.425)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:29.062291,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 23.5)","(19.0, 32.0, 28.8)","(7.0, 8.2, 8.116666666666665)","(13.0, 16.5, 16.425)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:30.485271,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 23.5)","(19.0, 32.0, 28.8)","(7.0, 8.2, 8.116666666666665)","(13.0, 16.5, 16.425)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 132.0)"
06-01-2023 13:47:31.816671,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 23.5)","(19.0, 32.0, 26.5)","(7.0, 8.2, 8.116666666666665)","(13.0, 16.5, 16.425)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:33.246602,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 23.5)","(19.0, 29.0, 26.5)","(7.0, 8.2, 8.116666666666665)","(13.0, 16.5, 16.425)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:34.747392,"(7.5, 99999, 99990)","(13.0, 16.0, 15.5)","(4.8, 7.2, 6.968421052631579)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.0)","(15.0, 25.0, 23.5)","(19.0, 29.0, 27.0)","(7.0, 8.2, 8.116666666666665)","(13.0, 16.5, 16.425)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:36.258074,"(7.5, 99999, 99990)","(13.0, 16.0, 16.384615384615383)","(4.8, 7.2, 6.639215686274509)","(5.0, 6.8, 7.0)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 28.0, 25.125)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.5, 15.855)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:37.690022,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 7.0, 6.742857142857143)","(5.0, 7.2, 7.0)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.855)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:39.048146,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.0)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.855)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:40.418773,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.0)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:41.856762,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.0)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:43.254120,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.04776119402985)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:44.704032,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:46.195891,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.840909090909092)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:47.674560,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.0)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.840909090909092)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:49.047360,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.742857142857143)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 23.4)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:50.479019,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.6909090909090905)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 23.4)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:51.947826,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.6909090909090905)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.652173913043477)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:53.463124,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.6909090909090905)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 25.105263157894736)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:55.031710,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.6909090909090905)","(5.0, 7.2, 7.075)","(5.5, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.157894736842106)","(7.0, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:56.602748,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.6909090909090905)","(5.0, 7.2, 7.075)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.545454545454547)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:58.160828,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.4)","(5.0, 7.2, 7.075)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 24.545454545454547)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:47:59.722174,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.4)","(5.0, 7.2, 7.075)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 23.625)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 120.0)"
06-01-2023 13:48:01.242273,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.338461538461538)","(5.0, 7.2, 7.075)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 23.625)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 140.0, 120.0)"
06-01-2023 13:48:02.730818,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.338461538461538)","(5.0, 7.2, 7.075)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 23.5)","(19.0, 27.0, 23.625)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 140.0, 130.0)"
06-01-2023 13:48:04.240561,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.3125)","(5.0, 7.2, 7.1)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.57142857142857)","(19.0, 27.0, 23.625)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 140.0, 132.0)"
06-01-2023 13:48:05.804341,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.3125)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 23.625)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:07.313954,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.3125)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 22.5)","(7.5, 8.2, 8.155555555555555)","(13.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:08.798300,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.3125)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 22.5)","(7.0, 8.2, 8.155555555555555)","(14.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:10.356627,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.3125)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 22.5)","(7.0, 8.2, 8.155555555555555)","(14.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:11.914822,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.3125)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 22.5)","(7.0, 8.2, 8.155555555555555)","(14.0, 16.0, 15.842364532019705)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:13.367662,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.8, 6.366666666666666)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 22.5)","(7.0, 8.2, 8.155555555555555)","(14.0, 16.0, 15.855)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:14.911413,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.6, 6.18)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.155555555555556)","(15.0, 25.0, 24.0)","(19.0, 27.0, 23.625)","(7.0, 8.2, 8.166666666666666)","(14.0, 16.0, 15.855)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:16.397555,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.6, 6.18)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 6.0)","(15.0, 25.0, 24.0)","(19.0, 27.0, 23.53846153846154)","(7.0, 8.2, 8.166666666666666)","(14.0, 16.0, 15.855)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:17.879167,"(7.5, 99999, 99990)","(13.0, 16.5, 16.384615384615383)","(4.8, 6.6, 6.2)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 5.96)","(15.0, 25.0, 24.0)","(19.0, 27.0, 23.53846153846154)","(7.0, 8.2, 8.166666666666666)","(14.0, 16.0, 15.855)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:19.455337,"(7.5, 99999, 99990)","(13.0, 16.5, 16.071428571428573)","(4.8, 6.4, 6.2)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 5.96)","(15.0, 25.0, 24.0)","(19.0, 27.0, 24.5)","(7.0, 8.2, 8.149999999999999)","(14.0, 16.0, 16.457386363636363)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:20.939920,"(7.5, 99999, 99990)","(13.0, 16.5, 16.071428571428573)","(4.8, 6.4, 6.2)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 5.96)","(15.0, 25.0, 24.0)","(19.0, 27.0, 24.5)","(7.0, 8.2, 8.149999999999999)","(14.0, 16.5, 16.457386363636363)","(9.0, 13.0, 11.894736842105264)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
06-01-2023 13:48:22.443087,"(7.5, 99999, 99990)","(13.0, 16.5, 16.071428571428573)","(4.8, 6.4, 6.2)","(5.0, 7.2, 7.033333333333333)","(5.0, 6.4, 5.96)","(15.0, 25.0, 24.0)","(19.0, 27.0, 24.5)","(7.0, 8.2, 8.149999999999999)","(14.0, 16.5, 16.457386363636363)","(9.0, 13.0, 10.6)","(41.0, 75.0, 63.0)","(101.0, 150.0, 132.0)"
