,Jelignite Jack,Diego Delgado,Fraya,The Tax Cullector,Major Slip Up,Rancho Man,Gabbys Ideal,Hit The Track,Clares Fool,Jet Force
06-01-2023 13:34:01.392344,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:02.732568,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:04.036993,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:05.422409,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:06.690991,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:07.993009,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:09.286885,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:10.505445,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:11.803939,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:13.039996,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:14.331513,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:15.526550,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:16.703180,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:17.915298,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:19.099192,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:20.285417,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:21.498331,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:22.691751,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:23.941131,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:25.100141,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:26.310990,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:27.690339,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:28.955751,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:30.230037,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:31.496294,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 53.666666666666664)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:32.775617,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:34.227038,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:35.627209,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:36.987892,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:38.346733,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:39.587293,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:40.830336,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:42.079182,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:43.346604,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:44.584290,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:45.853692,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:47.070214,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:48.315663,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:49.610119,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:50.880849,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:52.145536,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:53.406445,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:54.695429,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:56.008187,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:57.213760,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:58.519386,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:59.729316,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:01.069420,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:02.269355,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:03.436959,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:04.706805,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:06.030433,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:07.247838,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:08.510460,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:09.760196,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:11.064422,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:12.255491,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:13.523980,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:35:14.738602,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.1, 3.4799999999999995)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 85.0, 53.666666666666664)","(6.0, 9.6, 8.88888888888889)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
