,Awol,Beatty,Medinah,Vivideel,Just Call Me Bella,Mira Flores,Voodoo Woman
08-01-2023 12:22:57.163456,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:58.184724,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:59.210558,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:00.251325,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:01.263642,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:02.251979,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:03.314720,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:04.324602,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:05.360671,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:06.440835,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:07.495060,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:08.510775,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:09.476376,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:10.465966,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:11.479485,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:12.511507,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:13.555059,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:14.569544,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:15.571422,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:16.497840,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:17.421870,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:18.413495,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:19.411521,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:20.469219,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:21.522675,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:22.601288,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:23.673002,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:24.744094,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:25.778869,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:26.732957,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:27.691994,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 10.08)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:28.648930,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 10.08)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:29.673454,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 10.08)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:30.704286,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 10.08)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:31.680876,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 9.333333333333334)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:32.672296,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 9.333333333333334)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:33.609399,"(2.45, 2.46, 2.4561904761904763)","(6.0, 10.5, 9.333333333333334)","(3.3, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:34.643130,"(2.45, 2.54, 2.48)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5934065934065935)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:35.701025,"(2.45, 2.54, 2.48)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:36.813180,"(2.45, 2.54, 2.48)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:37.909163,"(2.45, 2.54, 2.48)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:38.998568,"(2.45, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:40.013514,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:41.000065,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:41.925005,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:42.916166,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:43.994461,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:45.056373,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:46.063446,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:47.049243,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:47.987412,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:48.983087,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5935483870967744)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:50.010852,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.557142857142857)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:51.109839,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.557142857142857)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:52.158120,"(2.4, 2.54, 2.4714285714285715)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.557142857142857)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:53.215563,"(2.4, 2.54, 2.533684210526316)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:54.177895,"(2.4, 2.54, 2.533684210526316)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:55.112405,"(2.4, 2.54, 2.533684210526316)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:56.127745,"(2.4, 2.54, 2.5347826086956524)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:57.205759,"(2.4, 2.54, 2.5347826086956524)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:58.305284,"(2.4, 2.54, 2.5347826086956524)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:23:59.378658,"(2.4, 2.54, 2.5347826086956524)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:00.426085,"(2.4, 2.54, 2.5347826086956524)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:01.327320,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:02.284680,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:03.331001,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:04.371159,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:05.404015,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:06.442296,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:07.413040,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:08.416263,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:09.394325,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:10.435941,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:24:11.501639,"(2.4, 2.54, 2.5215384615384617)","(6.0, 10.5, 9.1875)","(3.3, 3.6, 3.5941747572815537)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.5, 12.5, 10.131578947368421)","(19.0, 38.0, 35.66666666666667)"
