,Stupendo,Bahama Bay,Blakmax,Cuban Sunset,Dream Statement,Mt Niseko,Sorel Rising,Everylittle Breeze,Freeways,Harmonious Senora,Miss Magnifico,Under The Palais,Doublern
04-01-2023 14:50:28.148674,"(12.0, 14.5, 14.205357142857142)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.375)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 19.5, 18.166666666666668)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:29.639255,"(12.0, 14.5, 14.205357142857142)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.375)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 19.5, 18.166666666666668)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.476923076923077)"
04-01-2023 14:50:31.093976,"(12.0, 14.5, 14.205357142857142)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.6)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 27.2)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 19.5, 18.166666666666668)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.0)","(8.5, 9.8, 9.476923076923077)"
04-01-2023 14:50:32.727876,"(12.0, 14.5, 14.205357142857142)","(8.0, 10.5, 9.752)","(10.0, 18.5, 18.666666666666668)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 18.065217391304348)","(14.0, 19.5, 18.40909090909091)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 17.666666666666668)","(8.5, 9.8, 9.6)"
04-01-2023 14:50:34.358041,"(12.0, 14.5, 14.205357142857142)","(8.0, 10.5, 9.752)","(10.0, 19.5, 18.666666666666668)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.652173913043477)","(14.0, 19.5, 18.40909090909091)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 17.666666666666668)","(8.5, 9.8, 9.6)"
04-01-2023 14:50:35.942616,"(12.0, 14.5, 14.125)","(8.0, 10.5, 9.752)","(10.0, 19.5, 17.666666666666668)","(41.0, 75.0, 58.46666666666667)","(15.0, 20.0, 18.86842105263158)","(15.0, 18.5, 17.357142857142858)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.0, 17.652173913043477)","(14.0, 19.5, 18.40909090909091)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 17.833333333333332)","(8.5, 9.8, 9.6)"
04-01-2023 14:50:37.512226,"(12.0, 14.5, 13.982758620689655)","(8.0, 10.5, 10.16)","(10.0, 19.0, 18.571428571428573)","(41.0, 75.0, 60.6)","(15.0, 19.5, 18.071428571428573)","(15.0, 18.5, 16.263157894736842)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.0, 16.982758620689655)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 17.833333333333332)","(8.5, 9.8, 9.6)"
04-01-2023 14:50:39.000884,"(12.0, 14.5, 13.982758620689655)","(8.0, 10.5, 10.16)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 19.0, 18.071428571428573)","(15.0, 18.0, 16.263157894736842)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.704615384615384)","(11.0, 17.5, 16.923076923076923)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.142857142857142)","(8.5, 9.8, 9.6)"
04-01-2023 14:50:40.532184,"(12.0, 14.5, 13.9375)","(8.0, 10.5, 10.16)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 19.0, 18.071428571428573)","(15.0, 18.0, 16.263157894736842)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.7043478260869565)","(11.0, 17.5, 16.923076923076923)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.476923076923077)"
04-01-2023 14:50:42.103524,"(12.0, 14.5, 13.712121212121213)","(8.0, 10.5, 10.16)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 19.0, 18.071428571428573)","(15.0, 18.0, 16.263157894736842)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.7043478260869565)","(11.0, 17.5, 16.923076923076923)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.476923076923077)"
04-01-2023 14:50:43.612480,"(12.0, 14.5, 13.712121212121213)","(8.0, 10.5, 10.19873417721519)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 19.0, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.7043478260869565)","(11.0, 17.5, 17.6)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.617391304347827)"
04-01-2023 14:50:45.124217,"(12.0, 14.5, 13.712121212121213)","(8.0, 10.5, 10.19873417721519)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.0, 17.391304347826086)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.617391304347827)"
04-01-2023 14:50:46.648900,"(12.0, 14.5, 13.76923076923077)","(8.0, 10.5, 10.19873417721519)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.6871794871794865)","(11.0, 18.0, 17.391304347826086)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.617391304347827)"
04-01-2023 14:50:48.164269,"(12.0, 14.5, 13.76923076923077)","(8.0, 10.5, 10.19873417721519)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.6871794871794865)","(11.0, 18.0, 17.391304347826086)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.617391304347827)"
04-01-2023 14:50:49.720862,"(12.0, 13.5, 13.488372093023255)","(8.0, 10.5, 10.19873417721519)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.6871794871794865)","(11.0, 18.0, 17.391304347826086)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.784)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.705263157894738)"
04-01-2023 14:50:51.227850,"(12.0, 13.5, 13.488372093023255)","(8.0, 10.5, 10.19873417721519)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.6871794871794865)","(11.0, 18.0, 17.391304347826086)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.784)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.705263157894738)"
04-01-2023 14:50:52.818534,"(12.0, 13.5, 13.488372093023255)","(8.0, 10.5, 10.175)","(10.0, 19.0, 18.6)","(41.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.56578947368421)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.6871794871794865)","(11.0, 18.0, 17.391304347826086)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.784)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.705263157894738)"
04-01-2023 14:50:54.394728,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.175)","(10.0, 19.0, 18.325)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 16.390243902439025)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.6871794871794865)","(11.0, 18.0, 17.103448275862068)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.784)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.6)"
04-01-2023 14:50:55.944688,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.136000000000001)","(10.0, 19.0, 18.325)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 16.390243902439025)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.667999999999999)","(11.0, 18.0, 17.103448275862068)","(14.0, 19.5, 19.294871794871796)","(5.0, 6.8, 6.784)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.671428571428573)"
04-01-2023 14:50:57.483778,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.136000000000001)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 16.390243902439025)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.667999999999999)","(11.0, 18.0, 17.1875)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.671428571428573)"
04-01-2023 14:50:58.979641,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.136000000000001)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 60.6)","(15.0, 17.5, 17.4)","(15.0, 18.0, 16.390243902439025)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.357142857142858)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.671428571428573)"
04-01-2023 14:51:00.562679,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.136000000000001)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 61.5)","(15.0, 17.5, 17.4)","(15.0, 18.0, 16.390243902439025)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.357142857142858)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.671428571428573)"
04-01-2023 14:51:02.078571,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.136000000000001)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 61.5)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.546875)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.357142857142858)","(14.0, 19.5, 19.264705882352942)","(5.0, 6.8, 6.614285714285714)","(15.0, 19.0, 18.4)","(8.5, 9.8, 9.671428571428573)"
04-01-2023 14:51:03.629104,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.136000000000001)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.546875)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.1875)","(14.0, 19.5, 19.127906976744185)","(5.0, 7.0, 6.614285714285714)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.728)"
04-01-2023 14:51:05.155128,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.175)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.546875)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.1875)","(14.0, 19.5, 19.127906976744185)","(5.0, 7.0, 6.614285714285714)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.728)"
04-01-2023 14:51:06.765677,"(12.0, 13.5, 13.411764705882353)","(8.0, 10.5, 10.175)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.546875)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.1875)","(14.0, 19.5, 19.127906976744185)","(5.0, 7.0, 6.614285714285714)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.728)"
04-01-2023 14:51:08.279148,"(12.0, 13.5, 13.488372093023255)","(8.0, 10.5, 10.175)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 17.546875)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.661052631578947)","(11.0, 18.0, 17.46153846153846)","(14.0, 19.5, 18.846153846153847)","(5.0, 7.0, 6.628571428571428)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.728)"
04-01-2023 14:51:09.804401,"(12.0, 13.5, 13.428571428571429)","(8.0, 10.5, 10.174137931034483)","(10.0, 19.0, 18.666666666666668)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 18.0, 16.75)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.668965517241379)","(11.0, 18.0, 17.46153846153846)","(14.0, 19.0, 18.363636363636363)","(5.0, 7.0, 6.64)","(15.0, 19.0, 18.6)","(8.5, 9.8, 9.486792452830189)"
04-01-2023 14:51:11.416740,"(12.0, 13.5, 13.428571428571429)","(8.0, 10.5, 10.174137931034483)","(10.0, 19.0, 18.666666666666668)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.75)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.46153846153846)","(14.0, 19.0, 18.363636363636363)","(5.0, 6.8, 6.64)","(15.0, 19.0, 18.6)","(8.5, 9.6, 9.486792452830189)"
04-01-2023 14:51:13.044225,"(12.0, 13.5, 13.428571428571429)","(8.0, 10.5, 10.174137931034483)","(10.0, 19.0, 18.666666666666668)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.75)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.46153846153846)","(14.0, 19.0, 18.363636363636363)","(5.0, 6.8, 6.64)","(15.0, 19.0, 18.6)","(8.5, 9.6, 9.486792452830189)"
04-01-2023 14:51:14.540794,"(12.0, 13.5, 13.408163265306122)","(8.0, 10.5, 10.114285714285714)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.75)","(20.0, 28.0, 27.11111111111111)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.1875)","(14.0, 19.0, 18.363636363636363)","(5.0, 6.8, 6.64)","(15.0, 19.0, 18.4)","(8.5, 9.6, 9.486792452830189)"
04-01-2023 14:51:16.091599,"(12.0, 13.5, 13.408163265306122)","(8.0, 10.5, 10.114285714285714)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.642857142857142)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.1875)","(14.0, 19.0, 18.75581395348837)","(5.0, 6.8, 6.628571428571428)","(15.0, 19.0, 18.4)","(8.5, 9.6, 9.486792452830189)"
04-01-2023 14:51:17.702796,"(12.0, 13.5, 13.408163265306122)","(8.0, 10.5, 10.114285714285714)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.72222222222222)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.1875)","(14.0, 19.0, 18.75581395348837)","(5.0, 6.8, 6.628571428571428)","(15.0, 19.0, 18.4)","(8.5, 9.6, 9.44)"
04-01-2023 14:51:19.294132,"(12.0, 13.5, 13.408163265306122)","(8.0, 10.5, 10.114285714285714)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.72222222222222)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.1875)","(14.0, 19.0, 18.75581395348837)","(5.0, 6.8, 6.628571428571428)","(15.0, 19.0, 18.4)","(8.5, 9.6, 9.44)"
04-01-2023 14:51:20.940007,"(12.0, 13.5, 13.408163265306122)","(8.0, 10.5, 10.114285714285714)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.642857142857142)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 17.1875)","(14.0, 19.0, 18.285714285714285)","(5.0, 6.8, 6.628571428571428)","(15.0, 19.0, 18.4)","(8.5, 9.6, 9.44)"
04-01-2023 14:51:22.481378,"(12.0, 13.5, 13.408163265306122)","(8.0, 10.5, 10.114285714285714)","(10.0, 19.0, 18.41304347826087)","(51.0, 75.0, 59.0)","(15.0, 17.5, 17.4)","(15.0, 17.0, 16.642857142857142)","(20.0, 28.0, 26.857142857142858)","(4.4, 5.8, 5.671428571428571)","(11.0, 18.0, 16.78125)","(14.0, 19.0, 18.285714285714285)","(5.0, 6.8, 6.628571428571428)","(15.0, 19.0, 18.4)","(8.5, 9.6, 9.44)"
