,Anjo Tornado,Sorinder Bale,Sophie Did It,Dixie Showband,Ferocious Amigo,Raising Hell,Nobu Girl,Oscar Ruth
08-01-2023 17:42:30.436185,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:31.600694,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:32.672388,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:33.875442,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:35.037339,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:36.095503,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:37.205412,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:38.383624,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:39.563335,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:40.927703,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:42.322069,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:43.502388,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 27.0, 20.0)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:44.703935,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:45.918762,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:47.107698,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:48.243539,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:49.363498,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:50.495886,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:51.599225,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:52.657824,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:53.696195,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:54.804442,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:55.863489,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:56.959596,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:58.218068,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:59.424452,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:00.679979,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:02.036765,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:03.306204,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:04.663935,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:05.830697,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:06.993174,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:08.100856,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:09.265130,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:10.428501,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:11.579958,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:12.658454,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:13.695161,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:14.811620,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:15.955965,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:17.011076,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:18.049746,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:19.177851,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 179.6)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.41176470588235)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:20.356612,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 158.66666666666669)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:21.513921,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 158.66666666666669)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:22.608294,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 158.66666666666669)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:23.660005,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 158.66666666666669)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:24.747702,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:25.826375,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:26.933963,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:28.001670,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:29.126443,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:30.192357,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:31.225337,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:32.260172,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:33.209056,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.0)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:34.247765,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.333333333333336)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:35.300463,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.333333333333336)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:36.343204,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.333333333333336)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:37.367924,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 20.333333333333336)","(101.0, 650.0, 375.0)","(16.0, 60.0, 41.875)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:38.405877,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 223.76470588235296)","(16.0, 38.0, 28.416666666666668)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:39.531352,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 116.0)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:40.666620,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 116.0)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:41.755515,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 116.0)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:42.799727,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 116.0)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:43.846741,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 116.0)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:43:44.942159,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 116.0)","(16.0, 38.0, 23.0)","(12.0, 25.0, 18.77777777777778)","(101.0, 650.0, 283.33333333333337)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
