,Slingshot Roxy,Reality One,Slingshot Penny,Laceby Girl,Rise Again,Crave Calamity,Checkout Chick,Bang On Blue
09-01-2023 18:05:53.703648,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:54.854766,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:55.986020,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:57.107672,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:58.300544,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:59.449964,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:00.624419,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:01.787208,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:03.071630,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:04.302061,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:05.515223,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:06.925096,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:08.056244,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:09.399340,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:10.516833,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:11.683966,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:12.877761,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:14.071054,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:15.253645,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:16.467552,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:17.704841,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:18.928918,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:20.146191,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:21.335229,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:22.551672,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:23.708193,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:24.922717,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:26.097684,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:27.277423,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:28.451562,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:29.687072,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:30.868965,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:32.012695,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:33.129843,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:34.344822,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:35.525561,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:36.683135,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:37.850844,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:38.987210,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:40.092076,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:41.258179,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:42.397142,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:43.512608,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:44.678780,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:45.813037,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:46.935638,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:48.048042,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:49.180743,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:50.342453,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:51.480507,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:52.546912,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:53.658068,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:54.779615,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:55.898502,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:57.025796,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:58.156419,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:06:59.325065,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:07:00.492953,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:01.647619,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:02.824956,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:04.014095,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:05.144260,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:06.341946,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:07.546945,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:08.733405,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:09.989122,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
09-01-2023 18:07:11.196276,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 8.176470588235293)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.772222222222222)"
