,Blue Cherry Miss,River Matt,Scarlett Express,Gabbys Gyros,Tabasco Lad
04-01-2023 11:17:13.913998,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:14.732667,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:15.595223,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:16.405002,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:17.249557,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:18.116348,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:18.986602,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:19.917108,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:20.776499,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:21.600707,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:22.443140,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:23.294598,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:24.089308,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:24.885236,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:25.750862,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:26.593621,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:27.441888,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:28.355085,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:29.224951,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:30.151979,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:30.999606,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:31.819481,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:32.647366,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:33.440115,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:34.262579,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:35.156969,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:36.062434,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:36.870960,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:37.658370,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:38.534622,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:39.483980,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:40.367228,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:41.300258,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:42.172372,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:43.042963,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:43.886811,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:44.753389,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:45.643156,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:46.524827,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:47.399120,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:48.231399,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:49.153394,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:50.016726,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:50.911976,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:51.825069,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:52.682091,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:53.468790,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:54.312379,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:55.204612,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:56.085336,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:57.015730,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:57.907406,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:58.771068,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:59.640766,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:00.486028,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:01.303415,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:02.169713,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:03.058481,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:03.925579,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:04.806838,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:05.661302,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:06.504575,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:07.359049,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:08.265599,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:09.153198,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:10.047611,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:10.888335,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:11.715519,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:12.566967,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:13.455822,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:14.337201,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:15.268139,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:16.126981,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:16.994647,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:17.871836,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:18.746442,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:19.579137,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:20.494513,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:21.333977,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:22.154299,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:23.091182,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:23.948806,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:24.813166,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:25.691804,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:26.550604,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:27.389387,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:28.453281,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:29.505180,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:30.375806,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:31.258089,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:32.214318,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:33.139579,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:34.198606,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:35.176931,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:36.146655,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:37.068025,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:18:37.917595,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
