,Outlaw Man Nz,Cocora,Ghost Of Time,Village Voice,Hes A Cool Mach,Malibu Jack,Lord Verde Nz,Wyattflynn,Holi Starzzz
07-12-2022 19:30:10.068884,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 110.0, 85.0)","(20.0, 27.0, 26.0625)","(4.4, 99999, 99990)","(21.0, 40.0, 36.285714285714285)","(17.0, 23.0, 22.25)"
07-12-2022 19:30:11.250724,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 110.0, 87.5)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.25)"
07-12-2022 19:30:12.419897,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 110.0, 87.5)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.25)"
07-12-2022 19:30:13.929908,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 110.0, 87.5)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.625)"
07-12-2022 19:30:15.242280,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 100.0, 91.25)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.625)"
07-12-2022 19:30:16.847935,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 95.0, 83.0)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.625)"
07-12-2022 19:30:18.306641,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 80.0)","(61.0, 95.0, 85.83333333333334)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.5)"
07-12-2022 19:30:19.868647,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.6)","(41.0, 120.0, 80.0)","(61.0, 90.0, 82.85714285714286)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.5)"
07-12-2022 19:30:21.411054,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.4, 7.64)","(41.0, 120.0, 80.0)","(61.0, 90.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.5)"
07-12-2022 19:30:22.849488,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.64)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.5)"
07-12-2022 19:30:24.325859,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.64)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 22.5)"
07-12-2022 19:30:25.785571,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.64)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 23.0, 41.2)"
07-12-2022 19:30:27.122722,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 46.0, 29.75)"
07-12-2022 19:30:28.526060,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 36.0, 28.583333333333332)"
07-12-2022 19:30:30.004866,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 34.0, 27.416666666666664)"
07-12-2022 19:30:31.496112,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 32.0, 29.25)"
07-12-2022 19:30:32.830521,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 30.0, 25.88888888888889)"
07-12-2022 19:30:34.049240,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.88888888888889)"
07-12-2022 19:30:35.268927,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:36.491886,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:37.778503,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:38.963437,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:40.188220,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:41.446950,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:42.692563,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:44.004263,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:45.297968,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:46.537380,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:47.692616,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:48.809971,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:50.006077,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:51.262384,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:52.482000,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:53.603324,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:54.781486,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:56.126622,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:57.394807,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:30:58.735453,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 105.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:00.048974,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 105.0)","(61.0, 85.0, 78.75)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:01.338767,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:02.684845,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:03.936856,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:05.103989,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:06.357116,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 25.923076923076923)"
07-12-2022 19:31:07.555353,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:08.822745,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.25)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:10.075744,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.0)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:11.402615,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 105.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.333333333333332)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:12.736601,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 105.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.333333333333332)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:13.966214,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 98.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.333333333333332)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:15.367415,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:16.571636,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:17.660586,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:18.958650,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 101.66666666666666)","(61.0, 85.0, 76.66666666666667)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:20.301190,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 80.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:21.755460,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 105.0)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:23.159866,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 110.76923076923077)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 25.75)","(4.4, 99999, 99990)","(21.0, 40.0, 33.5)","(17.0, 29.0, 23.166666666666668)"
07-12-2022 19:31:24.467604,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.2, 7.324999999999999)","(41.0, 120.0, 104.28571428571428)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:25.727911,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.2, 7.4)","(41.0, 120.0, 104.28571428571428)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:27.057406,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 83.33333333333333)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:28.222259,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 83.33333333333333)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:29.366284,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 83.33333333333333)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:30.657822,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 104.28571428571428)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:32.168313,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 104.28571428571428)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:33.368250,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 104.28571428571428)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
07-12-2022 19:31:34.487627,"(1.75, 99999, 99990)","(10.0, 16.5, 16.055555555555557)","(5.0, 8.0, 7.16)","(41.0, 120.0, 104.28571428571428)","(61.0, 85.0, 68.33333333333333)","(20.0, 27.0, 26.166666666666668)","(4.4, 99999, 99990)","(21.0, 40.0, 35.666666666666664)","(17.0, 29.0, 24.625)"
