,Little Auckland,Writeaboutchelsea,Champagne Reactor,Datsinahurri,Three Machs,Always At Night,Bertils Firefox,Lesvos Lad,Lazy Blaze
11-01-2023 19:11:37.813513,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.133333333333333)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:38.965380,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.133333333333333)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:40.069837,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.18)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:41.192459,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.16)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:42.309520,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.16)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:43.476240,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.16)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:44.632791,"(71.0, 160.0, 145.0)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.16)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:45.782789,"(71.0, 160.0, 145.0)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.16)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:46.969514,"(71.0, 160.0, 145.0)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.268181818181818)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:48.160654,"(71.0, 160.0, 145.0)","(101.0, 190.0, 155.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.271428571428571)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:49.330537,"(71.0, 160.0, 145.0)","(101.0, 190.0, 155.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.271428571428571)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:50.516214,"(71.0, 160.0, 145.0)","(101.0, 190.0, 155.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.271428571428571)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.466666666666667)"
11-01-2023 19:11:51.709025,"(71.0, 160.0, 145.0)","(101.0, 190.0, 155.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.270588235294118)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:52.855680,"(71.0, 160.0, 145.0)","(101.0, 190.0, 155.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.270588235294118)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:53.991058,"(71.0, 160.0, 145.0)","(101.0, 190.0, 155.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:55.105219,"(71.0, 160.0, 145.0)","(101.0, 190.0, 175.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:56.240289,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:57.341431,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:58.462377,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:59.575987,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:00.684962,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.281818181818181)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:01.772668,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.276470588235294)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:02.810859,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.276470588235294)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:03.862771,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:04.997422,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:06.065092,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.0)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:07.110003,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.0)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:08.172354,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.0)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:09.309125,"(71.0, 160.0, 145.0)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.0)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:10.548379,"(71.0, 160.0, 146.66666666666669)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.183333333333334)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:12:11.715630,"(71.0, 160.0, 146.66666666666669)","(101.0, 190.0, 150.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.16)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
