,Serengeti Gold,Lord Of Misrule Nz,Stars Of America,Yarraman Needy,Youroffal,Mistique,Whisky Bandit,Candy Striper,The Waterboy Nz
16-12-2022 12:18:22.602710,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:23.775091,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:24.968655,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:26.128523,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:27.291977,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:28.459041,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:29.615145,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:30.747366,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:31.908669,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:33.047119,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:34.155723,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:35.304378,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:36.446308,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:37.655624,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:38.839988,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:39.990686,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 54.714285714285715)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:41.226407,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 53.33333333333333)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:42.393288,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 53.33333333333333)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:43.535328,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:44.686203,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:45.883174,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:47.107333,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:48.254639,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:49.365164,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:50.486839,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:51.673675,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:52.864841,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:54.048532,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:55.216706,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:56.406775,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:57.570879,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:58.724213,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:59.892478,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:01.037037,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:02.224407,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:03.439321,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:04.640010,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:05.799120,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:06.994018,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:08.195729,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:09.396490,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:10.586406,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:12.046845,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:13.385341,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:14.711499,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:16.164549,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:17.538242,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:18.913651,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.0)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:20.338397,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.57142857142857)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:21.698801,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.57142857142857)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:23.184873,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.57142857142857)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:24.592290,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 55.57142857142857)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:26.007963,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:27.624552,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:29.264475,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:30.722091,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:32.486176,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:33.939676,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:35.309542,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:36.690722,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:37.990143,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:19:39.281734,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.333333333333336)","(31.0, 65.0, 54.66666666666667)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 245.83333333333331)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
