,Far Too Far,Solo Fernando,Astral Star,Chop And Drop,Mister Brockie,Russian Inn,Jet Keen,Brindle Bounty
09-01-2023 18:49:22.350091,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 405.55555555555554)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:23.439529,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 405.55555555555554)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:24.540859,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 405.55555555555554)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:25.629822,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:26.772419,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:27.872822,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:28.997959,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:30.127878,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:31.237440,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:32.475781,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:33.714083,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:35.053186,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:36.654546,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:38.330293,"(1.8, 2.6, 2.4346938775510205)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:39.906754,"(1.8, 2.6, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:40.997935,"(1.8, 2.58, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:42.453910,"(1.8, 2.58, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:43.529635,"(1.8, 2.58, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:44.614130,"(1.8, 2.58, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:45.761361,"(1.8, 2.58, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:46.900884,"(1.8, 2.58, 2.0836363636363635)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.428571428571429)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:48.036562,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:49.136564,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 20.333333333333332)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.8)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:50.274530,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 21.0, 13.8)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:51.401537,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 21.0, 13.8)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:52.528532,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 21.0, 13.8)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:53.618573,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 21.0, 13.8)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:54.736544,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 21.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:55.852567,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:56.923380,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:58.027609,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:49:59.185088,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:00.331049,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:01.527531,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:02.684321,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:03.877659,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:05.036876,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:06.140906,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:07.243608,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:08.355059,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:09.579585,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 11.866666666666667)"
09-01-2023 18:50:10.757880,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 14.0, 12.533333333333333)"
09-01-2023 18:50:11.893289,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:13.040601,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:14.142410,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:15.289880,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:16.454931,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:17.962751,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:19.132664,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 15.285714285714285)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:20.198312,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 20.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:21.254378,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:22.317788,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:23.410024,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:24.446642,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 10.559999999999999)"
09-01-2023 18:50:25.461781,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 10.559999999999999)"
09-01-2023 18:50:26.494844,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 10.559999999999999)"
09-01-2023 18:50:27.554113,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 10.559999999999999)"
09-01-2023 18:50:28.608959,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 10.559999999999999)"
09-01-2023 18:50:29.732158,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 10.559999999999999)"
09-01-2023 18:50:30.861477,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:31.938169,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:33.054577,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:34.115628,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:35.164209,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:36.259734,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:37.328636,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:38.477341,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:39.553017,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 18.0)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:40.616313,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:41.747109,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 19.636363636363637)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:42.835191,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 21.375)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:43.939251,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 21.375)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:45.030946,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 21.375)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:46.081366,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 21.375)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:47.112676,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 21.375)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
09-01-2023 18:50:48.225175,"(1.8, 2.62, 2.456)","(14.0, 32.0, 28.7)","(14.0, 32.0, 21.375)","(51.0, 440.0, 250.0)","(8.5, 19.0, 13.0)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.9, 3.595)","(7.5, 15.0, 12.533333333333333)"
