,Westar Commander,Incineration,Nehalem,Mr Beets,Gomez Bale,Orbital Bale,Lovaz Bale,Spaghetti Legs
07-01-2023 19:08:54.239202,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:55.511071,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:56.800485,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:58.113111,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:59.471803,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:00.705519,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:01.964458,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:03.455682,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:04.719754,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:06.124191,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
