,Opawa Barrel,Dembe,Opawa Chrissy,Carlos Jewel,Oberon Bale,Gitan,Opawa Conan,Quintessa Bale
08-12-2022 15:16:19.363072,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:20.551556,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.118840579710145)"
08-12-2022 15:16:21.695947,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.772727272727273)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:16:22.975534,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:16:24.150321,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:16:25.380847,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:16:26.577398,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:16:27.768948,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.5019230769230765)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.872222222222222)"
08-12-2022 15:16:28.986138,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:30.195057,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:31.318739,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:32.420417,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:33.592411,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:34.919667,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:35.995160,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:37.121817,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:38.409099,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:39.650561,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:40.923308,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.7226923076923075)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.961904761904762)"
08-12-2022 15:16:42.279160,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:43.407020,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:44.642312,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:45.864112,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:47.162560,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:48.295143,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:49.440854,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:50.527346,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:51.755515,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:52.907716,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
