,Trittrittbangbang,Miss Vung Tau,Our Star Watch Nz,Pontevivo,Lil Happy Fella,Leosabi,Justlike Turbo,Naval Aviator,Whoswhointhezoo,Blue Blazer Nz,Valentines Brook,Wall Street Girl
10-01-2023 20:36:37.858708,"(31.0, 60.0, 55.5)","(71.0, 160.0, 153.33333333333334)","(17.0, 99999, 99990)","(5.0, 6.2, 6.023529411764706)","(51.0, 70.0, 67.5)","(6.5, 9.4, 8.747368421052633)","(51.0, 110.0, 95.0)","(61.0, 130.0, 107.5)","(101.0, 260.0, 241.8181818181818)","(21.0, 99999, 99990)","(1.6, 1.93, 1.9161333333333332)","(14.0, 15.0, 14.833333333333334)"
10-01-2023 20:36:39.308816,"(31.0, 65.0, 60.833333333333336)","(71.0, 160.0, 153.33333333333334)","(17.0, 99999, 99990)","(5.0, 6.2, 6.1918699186991875)","(51.0, 70.0, 67.5)","(6.5, 8.8, 8.709090909090909)","(51.0, 110.0, 103.57142857142857)","(61.0, 130.0, 96.66666666666667)","(101.0, 260.0, 241.8181818181818)","(21.0, 99999, 99990)","(1.6, 1.93, 1.9142187499999999)","(14.0, 15.0, 14.842105263157894)"
10-01-2023 20:36:40.742743,"(31.0, 65.0, 58.75)","(71.0, 160.0, 153.33333333333334)","(17.0, 99999, 99990)","(5.0, 6.4, 6.164)","(51.0, 70.0, 67.5)","(6.5, 8.8, 8.664150943396226)","(51.0, 110.0, 101.0)","(61.0, 120.0, 96.66666666666667)","(101.0, 260.0, 241.0)","(21.0, 99999, 99990)","(1.6, 1.92, 1.9108823529411765)","(14.0, 15.0, 14.785714285714286)"
10-01-2023 20:36:42.259886,"(31.0, 65.0, 60.0)","(71.0, 160.0, 155.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.229007633587787)","(51.0, 70.0, 69.0)","(6.5, 8.8, 8.695652173913043)","(51.0, 110.0, 91.25)","(61.0, 120.0, 96.66666666666667)","(101.0, 250.0, 241.8181818181818)","(21.0, 99999, 99990)","(1.6, 1.93, 1.8899199999999998)","(14.0, 15.0, 14.875)"
10-01-2023 20:36:43.755711,"(31.0, 65.0, 64.0)","(71.0, 160.0, 155.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.214285714285714)","(51.0, 70.0, 69.0)","(6.5, 8.8, 8.77837837837838)","(51.0, 110.0, 91.25)","(61.0, 120.0, 96.66666666666667)","(101.0, 250.0, 350.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.89, 1.9003225806451611)","(14.0, 15.0, 14.935483870967742)"
10-01-2023 20:36:45.188248,"(31.0, 65.0, 64.0)","(71.0, 160.0, 155.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.214285714285714)","(51.0, 75.0, 69.0)","(6.5, 8.8, 8.77837837837838)","(51.0, 110.0, 91.25)","(61.0, 120.0, 97.5)","(101.0, 370.0, 350.9090909090909)","(21.0, 99999, 99990)","(1.6, 1.91, 1.8851923076923076)","(14.0, 15.0, 14.935483870967742)"
10-01-2023 20:36:46.612069,"(31.0, 65.0, 64.0)","(71.0, 160.0, 155.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.218947368421053)","(51.0, 75.0, 69.0)","(6.5, 8.8, 8.77837837837838)","(51.0, 110.0, 91.25)","(61.0, 110.0, 93.33333333333333)","(101.0, 370.0, 350.9090909090909)","(26.0, 99999, 99990)","(1.65, 1.91, 1.8858064516129032)","(13.0, 15.0, 15.43359375)"
10-01-2023 20:36:48.339826,"(31.0, 65.0, 63.333333333333336)","(71.0, 160.0, 182.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.204545454545455)","(51.0, 75.0, 69.0)","(6.5, 8.8, 8.417977528089889)","(51.0, 110.0, 100.625)","(61.0, 110.0, 93.33333333333333)","(101.0, 370.0, 350.9090909090909)","(26.0, 99999, 99990)","(1.65, 1.9, 1.904736842105263)","(13.0, 15.5, 15.43359375)"
10-01-2023 20:36:49.927306,"(31.0, 65.0, 63.333333333333336)","(71.0, 190.0, 181.66666666666666)","(17.0, 99999, 99990)","(5.0, 6.4, 6.342222222222222)","(51.0, 75.0, 68.6842105263158)","(6.5, 8.6, 8.168421052631578)","(51.0, 110.0, 105.83333333333334)","(61.0, 110.0, 105.0)","(101.0, 370.0, 350.9090909090909)","(26.0, 99999, 99990)","(1.65, 1.91, 1.9049122807017542)","(13.0, 15.5, 15.43359375)"
10-01-2023 20:36:51.567526,"(31.0, 70.0, 65.5)","(71.0, 190.0, 181.66666666666666)","(17.0, 99999, 99990)","(5.0, 6.6, 6.222727272727273)","(51.0, 75.0, 68.6842105263158)","(6.5, 8.2, 8.211111111111112)","(51.0, 110.0, 105.0)","(61.0, 110.0, 105.0)","(101.0, 370.0, 350.9090909090909)","(26.0, 99999, 99990)","(1.65, 1.91, 1.9127710843373493)","(13.0, 15.5, 15.433070866141732)"
10-01-2023 20:36:52.909455,"(31.0, 70.0, 66.0)","(71.0, 190.0, 151.9047619047619)","(17.0, 99999, 99990)","(5.0, 6.4, 6.203846153846154)","(51.0, 75.0, 69.0)","(6.5, 8.4, 8.143396226415094)","(51.0, 110.0, 105.83333333333334)","(61.0, 110.0, 105.83333333333334)","(101.0, 370.0, 353.8461538461538)","(26.0, 99999, 99990)","(1.65, 1.92, 1.9108713692946058)","(13.0, 15.5, 15.433070866141732)"
10-01-2023 20:36:54.301767,"(31.0, 70.0, 66.0)","(71.0, 190.0, 158.0)","(17.0, 99999, 99990)","(5.0, 6.4, 6.169072164948454)","(51.0, 75.0, 69.21052631578948)","(6.5, 8.4, 8.116666666666667)","(51.0, 110.0, 98.63636363636364)","(61.0, 110.0, 114.16666666666666)","(101.0, 370.0, 353.8461538461538)","(26.0, 99999, 99990)","(1.65, 1.92, 1.9110169491525424)","(13.0, 15.5, 15.433070866141732)"
10-01-2023 20:36:55.716594,"(31.0, 70.0, 68.75)","(81.0, 190.0, 156.95652173913044)","(17.0, 99999, 99990)","(5.0, 6.4, 6.275)","(51.0, 75.0, 69.21052631578948)","(6.5, 8.4, 7.827848101265823)","(51.0, 100.0, 98.63636363636364)","(61.0, 120.0, 113.0)","(101.0, 370.0, 353.8461538461538)","(26.0, 99999, 99990)","(1.65, 1.92, 1.9076)","(13.0, 15.5, 15.474137931034482)"
10-01-2023 20:36:57.257163,"(31.0, 70.0, 68.75)","(81.0, 190.0, 156.95652173913044)","(17.0, 99999, 99990)","(5.0, 6.4, 6.275)","(51.0, 75.0, 70.29411764705883)","(6.5, 8.0, 8.163934426229508)","(51.0, 100.0, 97.14285714285714)","(61.0, 120.0, 111.42857142857143)","(101.0, 370.0, 353.8461538461538)","(26.0, 99999, 99990)","(1.65, 1.91, 1.893681818181818)","(13.0, 15.5, 15.525)"
10-01-2023 20:36:58.849745,"(31.0, 65.0, 60.9375)","(81.0, 150.0, 133.33333333333334)","(17.0, 99999, 99990)","(5.0, 6.6, 6.372727272727273)","(51.0, 75.0, 70.55555555555556)","(6.5, 8.4, 8.288372093023256)","(51.0, 100.0, 97.77777777777777)","(61.0, 120.0, 123.0)","(101.0, 370.0, 355.0)","(26.0, 99999, 99990)","(1.65, 1.9, 1.8887943262411346)","(13.0, 16.0, 15.936170212765957)"
10-01-2023 20:37:00.423868,"(31.0, 65.0, 61.666666666666664)","(81.0, 150.0, 141.11111111111111)","(17.0, 99999, 99990)","(5.0, 6.4, 6.3821782178217825)","(51.0, 75.0, 71.25)","(6.5, 8.4, 8.025)","(51.0, 100.0, 89.54545454545455)","(61.0, 130.0, 145.0)","(101.0, 370.0, 382.8571428571429)","(26.0, 99999, 99990)","(1.65, 1.89, 1.8667187500000002)","(13.0, 16.0, 16.03846153846154)"
10-01-2023 20:37:01.948719,"(31.0, 70.0, 66.42857142857143)","(81.0, 150.0, 142.0)","(17.0, 99999, 99990)","(5.0, 6.6, 6.430463576158941)","(51.0, 75.0, 72.22222222222223)","(6.5, 8.4, 8.064150943396227)","(51.0, 110.0, 98.63636363636364)","(61.0, 170.0, 161.66666666666669)","(101.0, 420.0, 380.0)","(26.0, 99999, 99990)","(1.65, 1.87, 1.8573786407766992)","(13.0, 16.5, 16.472789115646258)"
10-01-2023 20:37:03.365434,"(31.0, 70.0, 69.0909090909091)","(81.0, 150.0, 126.0)","(17.0, 99999, 99990)","(5.0, 6.6, 6.688)","(51.0, 75.0, 72.0)","(6.5, 8.2, 8.076363636363636)","(51.0, 110.0, 113.33333333333333)","(61.0, 170.0, 189.5)","(101.0, 420.0, 290.0)","(26.0, 99999, 99990)","(1.65, 1.86, 1.8414754098360657)","(13.0, 16.5, 16.928571428571427)"
10-01-2023 20:37:04.910279,"(31.0, 65.0, 62.77777777777778)","(71.0, 140.0, 130.0)","(17.0, 99999, 99990)","(5.0, 6.8, 6.688)","(51.0, 75.0, 72.0)","(6.5, 8.2, 8.123809523809523)","(51.0, 120.0, 120.0)","(61.0, 200.0, 197.27272727272725)","(101.0, 410.0, 285.0)","(26.0, 99999, 99990)","(1.65, 1.85, 1.8142729306487697)","(13.0, 17.0, 16.9)"
10-01-2023 20:37:06.342884,"(31.0, 65.0, 62.30769230769231)","(71.0, 140.0, 130.0)","(17.0, 99999, 99990)","(5.0, 6.8, 6.721739130434782)","(51.0, 80.0, 73.125)","(6.5, 8.4, 8.531147540983607)","(51.0, 130.0, 126.66666666666667)","(61.0, 220.0, 181.25)","(101.0, 400.0, 246.66666666666669)","(26.0, 99999, 99990)","(1.65, 1.82, 1.8086684782608695)","(13.0, 17.0, 17.35135135135135)"
10-01-2023 20:37:07.742693,"(31.0, 65.0, 62.30769230769231)","(71.0, 150.0, 122.3076923076923)","(17.0, 99999, 99990)","(5.0, 6.8, 6.721739130434782)","(51.0, 80.0, 73.125)","(6.5, 8.6, 8.531147540983607)","(51.0, 130.0, 126.66666666666667)","(61.0, 210.0, 180.9090909090909)","(101.0, 400.0, 285.0)","(26.0, 99999, 99990)","(1.65, 1.81, 1.8075376884422112)","(13.0, 18.0, 17.41304347826087)"
10-01-2023 20:37:09.271470,"(31.0, 65.0, 62.30769230769231)","(71.0, 150.0, 122.3076923076923)","(17.0, 99999, 99990)","(5.0, 6.8, 6.721739130434782)","(51.0, 80.0, 73.125)","(6.5, 8.6, 8.540845070422534)","(51.0, 130.0, 126.66666666666667)","(61.0, 200.0, 173.75)","(101.0, 400.0, 246.66666666666669)","(26.0, 99999, 99990)","(1.65, 1.81, 1.8098360655737706)","(13.0, 17.5, 17.0)"
10-01-2023 20:37:10.794137,"(31.0, 65.0, 62.30769230769231)","(71.0, 150.0, 122.3076923076923)","(17.0, 99999, 99990)","(5.0, 6.8, 6.721739130434782)","(51.0, 80.0, 73.125)","(6.5, 8.6, 8.525)","(51.0, 130.0, 126.66666666666667)","(61.0, 200.0, 125.0)","(101.0, 400.0, 390.0)","(26.0, 99999, 99990)","(1.65, 1.82, 1.8120430107526881)","(13.0, 17.5, 17.0)"
10-01-2023 20:37:12.244057,"(31.0, 65.0, 62.30769230769231)","(71.0, 150.0, 122.3076923076923)","(17.0, 99999, 99990)","(5.0, 6.8, 6.715254237288136)","(51.0, 80.0, 73.125)","(6.5, 8.6, 8.493548387096773)","(51.0, 130.0, 126.66666666666667)","(61.0, 200.0, 130.0)","(101.0, 610.0, 277.5)","(26.0, 99999, 99990)","(1.65, 1.82, 1.825482546201232)","(13.0, 17.5, 17.428571428571427)"
10-01-2023 20:37:13.696485,"(31.0, 65.0, 63.0)","(71.0, 150.0, 122.3076923076923)","(17.0, 99999, 99990)","(5.0, 7.0, 6.63125)","(51.0, 80.0, 73.125)","(6.5, 8.6, 8.44)","(51.0, 130.0, 126.66666666666667)","(61.0, 190.0, 140.0)","(101.0, 600.0, 310.0)","(26.0, 99999, 99990)","(1.65, 1.83, 1.81325)","(14.0, 17.5, 17.625)"
10-01-2023 20:37:15.139344,"(31.0, 65.0, 63.75)","(71.0, 150.0, 122.3076923076923)","(17.0, 99999, 99990)","(5.0, 6.8, 6.268421052631579)","(51.0, 80.0, 72.5)","(6.5, 8.6, 8.419512195121952)","(51.0, 130.0, 126.66666666666667)","(61.0, 180.0, 120.0)","(101.0, 590.0, 375.0)","(26.0, 99999, 99990)","(1.65, 1.82, 1.8115966386554623)","(14.0, 18.0, 17.625)"
10-01-2023 20:37:16.637166,"(31.0, 65.0, 63.333333333333336)","(71.0, 150.0, 139.7674418604651)","(17.0, 99999, 99990)","(5.0, 6.6, 6.504)","(51.0, 80.0, 73.125)","(6.0, 8.8, 8.89090909090909)","(61.0, 130.0, 123.63636363636364)","(61.0, 180.0, 140.0)","(101.0, 580.0, 313.33333333333337)","(26.0, 99999, 99990)","(1.65, 1.82, 1.7939333333333334)","(14.0, 18.0, 18.25)"
10-01-2023 20:37:18.139171,"(31.0, 75.0, 72.5)","(71.0, 150.0, 140.0)","(17.0, 99999, 99990)","(5.0, 6.6, 6.2)","(51.0, 80.0, 73.125)","(6.0, 9.0, 8.952941176470588)","(61.0, 140.0, 122.5)","(61.0, 180.0, 181.8181818181818)","(101.0, 600.0, 313.33333333333337)","(26.0, 99999, 99990)","(1.65, 1.8, 1.7929274611398964)","(14.0, 18.5, 18.125)"
10-01-2023 20:37:19.598531,"(31.0, 75.0, 72.5)","(71.0, 150.0, 113.63636363636364)","(18.0, 99999, 99990)","(5.0, 6.6, 6.2)","(51.0, 80.0, 73.125)","(6.0, 9.0, 8.885714285714286)","(61.0, 140.0, 122.5)","(61.0, 200.0, 181.8181818181818)","(101.0, 600.0, 390.0)","(26.0, 99999, 99990)","(1.65, 1.8, 1.7905058365758755)","(14.0, 18.5, 18.125)"
10-01-2023 20:37:21.056901,"(31.0, 75.0, 70.71428571428571)","(71.0, 150.0, 122.3076923076923)","(18.0, 99999, 99990)","(5.0, 6.6, 6.282857142857143)","(51.0, 80.0, 73.125)","(6.0, 9.0, 9.16)","(61.0, 140.0, 122.5)","(61.0, 200.0, 163.33333333333334)","(101.0, 610.0, 390.0)","(26.0, 99999, 99990)","(1.65, 1.8, 1.7685185185185186)","(14.0, 18.5, 17.928571428571427)"
10-01-2023 20:37:22.445255,"(31.0, 75.0, 70.71428571428571)","(71.0, 150.0, 122.3076923076923)","(18.0, 99999, 99990)","(5.0, 6.6, 6.282857142857143)","(51.0, 80.0, 73.52941176470588)","(6.0, 9.4, 9.276923076923078)","(61.0, 140.0, 122.5)","(61.0, 190.0, 150.0)","(101.0, 610.0, 390.0)","(26.0, 99999, 99990)","(1.65, 1.77, 1.7678048780487805)","(14.0, 19.0, 18.5)"
10-01-2023 20:37:23.870294,"(31.0, 75.0, 71.66666666666667)","(71.0, 150.0, 124.11764705882354)","(18.0, 99999, 99990)","(5.0, 6.6, 6.241025641025641)","(51.0, 80.0, 73.52941176470588)","(6.0, 9.4, 9.276923076923078)","(61.0, 140.0, 122.5)","(61.0, 190.0, 166.0)","(101.0, 610.0, 390.0)","(26.0, 99999, 99990)","(1.65, 1.77, 1.7534857142857143)","(14.0, 19.0, 18.5)"
10-01-2023 20:37:25.339492,"(31.0, 75.0, 70.0)","(71.0, 150.0, 116.66666666666667)","(18.0, 99999, 99990)","(5.0, 6.6, 6.241025641025641)","(51.0, 80.0, 73.52941176470588)","(6.0, 9.4, 9.344186046511629)","(61.0, 140.0, 122.5)","(61.0, 190.0, 175.0)","(101.0, 610.0, 426.0)","(26.0, 99999, 99990)","(1.65, 1.78, 1.7534857142857143)","(14.0, 19.0, 18.423076923076923)"
10-01-2023 20:37:26.741173,"(31.0, 75.0, 73.57142857142857)","(71.0, 150.0, 125.0)","(18.0, 99999, 99990)","(5.0, 6.6, 6.466666666666667)","(51.0, 80.0, 73.52941176470588)","(6.0, 9.4, 9.344186046511629)","(61.0, 140.0, 122.5)","(61.0, 190.0, 175.0)","(101.0, 610.0, 480.0)","(26.0, 99999, 99990)","(1.6, 1.78, 1.7546341463414634)","(14.0, 19.0, 18.423076923076923)"
10-01-2023 20:37:28.121200,"(31.0, 75.0, 73.57142857142857)","(71.0, 150.0, 125.0)","(18.0, 99999, 99990)","(5.0, 6.8, 6.552941176470588)","(51.0, 80.0, 73.75)","(6.0, 9.4, 9.389189189189189)","(61.0, 140.0, 123.63636363636364)","(61.0, 190.0, 181.42857142857144)","(101.0, 590.0, 480.0)","(26.0, 99999, 99990)","(1.6, 1.78, 1.7225)","(14.0, 19.0, 18.666666666666668)"
10-01-2023 20:37:29.521742,"(31.0, 75.0, 73.0)","(71.0, 150.0, 122.3076923076923)","(18.0, 99999, 99990)","(5.0, 6.6, 6.47906976744186)","(51.0, 80.0, 77.14285714285714)","(6.0, 9.8, 9.53103448275862)","(61.0, 140.0, 125.0)","(61.0, 190.0, 184.54545454545453)","(101.0, 590.0, 502.0)","(26.0, 99999, 99990)","(1.6, 1.73, 1.7492957746478872)","(14.0, 19.0, 18.1)"
10-01-2023 20:37:31.015560,"(31.0, 75.0, 72.14285714285714)","(71.0, 150.0, 124.28571428571429)","(18.0, 99999, 99990)","(5.0, 6.6, 6.491666666666667)","(51.0, 80.0, 76.94444444444444)","(6.0, 9.6, 9.635)","(61.0, 140.0, 119.47368421052632)","(61.0, 190.0, 202.22222222222223)","(101.0, 590.0, 443.3333333333333)","(26.0, 99999, 99990)","(1.6, 1.78, 1.761290322580645)","(14.0, 18.5, 18.625)"
10-01-2023 20:37:32.441382,"(31.0, 75.0, 72.14285714285714)","(71.0, 150.0, 124.28571428571429)","(18.0, 99999, 99990)","(5.0, 6.6, 6.533333333333333)","(51.0, 80.0, 77.14285714285714)","(6.0, 9.8, 9.635)","(61.0, 140.0, 119.47368421052632)","(71.0, 210.0, 180.0)","(101.0, 590.0, 436.6666666666667)","(26.0, 99999, 99990)","(1.6, 1.78, 1.7415384615384615)","(14.0, 19.0, 18.785714285714285)"
10-01-2023 20:37:33.906712,"(31.0, 75.0, 72.14285714285714)","(71.0, 150.0, 124.28571428571429)","(18.0, 99999, 99990)","(5.0, 6.8, 6.404255319148936)","(51.0, 80.0, 77.14285714285714)","(6.0, 9.8, 9.75)","(61.0, 140.0, 119.47368421052632)","(71.0, 210.0, 190.0)","(101.0, 580.0, 478.0)","(26.0, 99999, 99990)","(1.6, 1.76, 1.7229032258064516)","(14.0, 19.0, 18.785714285714285)"
10-01-2023 20:37:35.374049,"(31.0, 75.0, 72.14285714285714)","(71.0, 150.0, 124.28571428571429)","(18.0, 99999, 99990)","(5.0, 6.6, 6.033333333333333)","(51.0, 80.0, 77.3529411764706)","(6.0, 10.0, 9.845238095238095)","(61.0, 140.0, 119.47368421052632)","(71.0, 230.0, 190.0)","(101.0, 560.0, 360.0)","(26.0, 99999, 99990)","(1.6, 1.74, 1.7316666666666667)","(14.0, 19.0, 19.0)"
10-01-2023 20:37:36.798615,"(31.0, 80.0, 77.85714285714286)","(71.0, 150.0, 124.28571428571429)","(18.0, 99999, 99990)","(5.0, 6.2, 5.8545454545454545)","(51.0, 80.0, 90.0)","(6.0, 10.5, 9.942857142857143)","(61.0, 140.0, 116.0)","(71.0, 230.0, 236.66666666666669)","(101.0, 560.0, 260.0)","(26.0, 99999, 99990)","(1.6, 1.74, 1.7410344827586206)","(14.0, 20.0, 20.0)"
