,Roxy Danger,Air Head,Tah Tracey,Good Chat,Buckle Up Lila,Primal Dancer,Lyncar Kath,Law Abiding
10-01-2023 11:58:42.839353,"(3.4, 6.4, 6.166666666666667)","(4.2, 4.8, 4.266666666666667)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.125)","(4.8, 8.0, 7.8769230769230765)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:43.937780,"(3.4, 6.4, 6.066666666666666)","(4.2, 4.8, 4.266666666666667)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.125)","(4.8, 8.0, 7.8769230769230765)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:44.988568,"(3.4, 6.4, 6.036363636363636)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.125)","(4.8, 8.0, 7.8769230769230765)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:46.097531,"(3.4, 6.4, 5.9625)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.125)","(4.8, 8.0, 7.8769230769230765)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:47.174484,"(3.4, 6.4, 5.933333333333334)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.8769230769230765)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:48.198459,"(3.4, 6.4, 6.266666666666667)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.917948717948718)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:49.235225,"(3.4, 6.4, 5.816666666666666)","(4.2, 4.8, 4.266666666666667)","(2.7, 3.3, 3.271153846153846)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.917948717948718)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:50.268414,"(3.4, 6.4, 5.816666666666666)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.245454545454545)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.917948717948718)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:51.345357,"(3.4, 6.4, 5.816666666666666)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.917948717948718)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:52.376894,"(3.4, 6.4, 5.816666666666666)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.917948717948718)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:53.428928,"(3.4, 6.4, 5.816666666666666)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.917948717948718)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:54.479324,"(3.4, 6.4, 6.08)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:55.525835,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:56.624188,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:57.744964,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.7, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(71.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:58:58.874246,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:59:00.009917,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:59:01.100249,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.28)","(8.5, 9.6, 9.057142857142857)","(4.8, 8.0, 7.958620689655173)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.714285714285715)"
10-01-2023 11:59:02.354192,"(3.4, 6.4, 6.052173913043478)","(4.2, 4.8, 4.3)","(2.8, 3.3, 3.28)","(8.5, 9.6, 9.066666666666666)","(4.8, 8.0, 8.057142857142857)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 51.25)"
10-01-2023 11:59:03.521377,"(3.4, 6.4, 6.023529411764706)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.28)","(8.5, 9.6, 8.88888888888889)","(4.8, 8.4, 8.057142857142857)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 51.25)"
10-01-2023 11:59:04.621249,"(3.4, 6.4, 6.191304347826087)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.2, 8.861538461538462)","(4.8, 8.2, 8.131428571428572)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 51.25)"
10-01-2023 11:59:05.737784,"(3.4, 6.4, 6.191304347826087)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.28)","(8.5, 9.2, 8.861538461538462)","(4.8, 8.2, 8.131428571428572)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 51.25)"
10-01-2023 11:59:06.930958,"(3.4, 6.4, 6.191304347826087)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.28)","(8.5, 9.2, 8.834782608695653)","(4.8, 8.2, 8.102702702702702)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 51.25)"
10-01-2023 11:59:08.022485,"(3.4, 6.4, 6.191304347826087)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.2, 8.834782608695653)","(4.8, 8.2, 7.9818181818181815)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 49.54545454545455)"
10-01-2023 11:59:09.108579,"(3.4, 6.4, 6.166666666666667)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.28)","(8.5, 9.2, 8.844444444444445)","(4.8, 8.2, 8.133333333333333)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.111111111111114)"
10-01-2023 11:59:10.172622,"(3.4, 6.4, 6.12)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.28)","(8.5, 9.2, 8.844444444444445)","(4.8, 8.2, 8.11111111111111)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:11.241938,"(3.4, 6.4, 6.213333333333334)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.2, 8.844444444444445)","(4.8, 8.2, 8.11111111111111)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:12.342529,"(3.4, 6.4, 6.283333333333333)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.28)","(8.5, 9.0, 8.26153846153846)","(4.8, 8.0, 7.953846153846154)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:13.490992,"(3.4, 6.4, 6.31764705882353)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.0, 8.6)","(4.8, 8.0, 7.925)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:14.649760,"(3.4, 6.4, 6.31764705882353)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.0, 8.714285714285714)","(4.8, 8.0, 7.964705882352941)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:15.852855,"(3.4, 6.4, 6.283333333333333)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.28)","(8.5, 9.0, 8.54782608695652)","(4.8, 8.0, 7.969230769230769)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:17.025896,"(3.4, 6.4, 6.31764705882353)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.0, 8.54782608695652)","(4.8, 8.0, 7.978947368421053)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:18.181679,"(3.4, 6.4, 6.12)","(4.2, 4.8, 4.233333333333333)","(2.8, 3.3, 3.28)","(8.5, 9.0, 8.709677419354838)","(4.8, 8.2, 8.342857142857143)","(26.0, 34.0, 29.846153846153847)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:19.277376,"(3.4, 6.4, 6.166666666666667)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.28)","(8.5, 9.0, 8.709677419354838)","(4.8, 8.4, 8.342857142857143)","(26.0, 34.0, 31.0)","(81.0, 180.0, 108.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:20.416837,"(3.4, 6.4, 6.12)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.2439999999999998)","(8.5, 9.0, 8.657142857142857)","(4.8, 9.0, 8.804)","(26.0, 34.0, 31.0)","(81.0, 180.0, 114.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:21.552010,"(3.4, 6.4, 6.2444444444444445)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.2439999999999998)","(8.5, 8.8, 8.589473684210526)","(4.8, 9.0, 8.75294117647059)","(26.0, 34.0, 29.846153846153847)","(81.0, 170.0, 114.0)","(41.0, 55.0, 50.6)"
10-01-2023 11:59:22.609390,"(3.4, 6.4, 6.2444444444444445)","(4.2, 4.8, 4.228571428571429)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.589473684210526)","(5.5, 9.0, 8.75294117647059)","(26.0, 34.0, 31.0)","(71.0, 170.0, 114.0)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:23.653525,"(3.7, 6.4, 6.300000000000001)","(4.2, 4.8, 4.219354838709678)","(2.8, 3.3, 3.2439999999999998)","(8.0, 8.8, 8.589473684210526)","(5.5, 9.0, 8.65)","(26.0, 34.0, 31.0)","(71.0, 170.0, 114.0)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:24.777073,"(3.7, 6.4, 6.270967741935484)","(4.2, 4.7, 4.235714285714286)","(2.8, 3.3, 3.2439999999999998)","(8.0, 8.8, 8.66046511627907)","(5.5, 9.0, 8.65)","(26.0, 34.0, 29.846153846153847)","(71.0, 170.0, 105.83333333333333)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:25.831471,"(3.7, 6.4, 6.300000000000001)","(4.2, 4.7, 4.223809523809524)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.66046511627907)","(5.5, 9.0, 8.75294117647059)","(26.0, 34.0, 29.846153846153847)","(71.0, 170.0, 108.75)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:26.910563,"(3.7, 6.4, 6.272727272727273)","(4.2, 4.7, 4.223809523809524)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.66046511627907)","(5.5, 9.0, 8.65)","(26.0, 34.0, 32.07142857142857)","(71.0, 170.0, 108.75)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:28.076409,"(3.7, 6.4, 6.2444444444444445)","(4.2, 4.7, 4.223809523809524)","(2.8, 3.3, 3.2439999999999998)","(8.0, 8.8, 8.66046511627907)","(5.5, 9.0, 8.65)","(26.0, 34.0, 32.07142857142857)","(71.0, 170.0, 108.75)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:29.162333,"(3.7, 6.4, 6.266666666666667)","(4.2, 4.7, 4.223809523809524)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.66046511627907)","(5.5, 9.0, 8.65)","(26.0, 34.0, 32.07142857142857)","(71.0, 170.0, 108.75)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:30.260736,"(3.7, 6.4, 6.31764705882353)","(4.2, 4.7, 4.223809523809524)","(2.8, 3.3, 3.2363636363636363)","(8.0, 8.8, 8.59047619047619)","(5.5, 9.0, 8.846153846153847)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 108.75)","(31.0, 55.0, 50.6)"
10-01-2023 11:59:31.389484,"(3.7, 6.4, 6.283333333333333)","(4.2, 4.7, 4.223809523809524)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.59047619047619)","(5.5, 9.0, 8.846153846153847)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 108.75)","(31.0, 55.0, 51.333333333333336)"
10-01-2023 11:59:32.454455,"(3.7, 6.4, 6.283333333333333)","(4.2, 4.7, 4.216129032258065)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.59047619047619)","(5.5, 9.0, 8.846153846153847)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 108.75)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:33.480388,"(3.7, 6.4, 6.31764705882353)","(4.2, 4.7, 4.217857142857143)","(2.8, 3.3, 3.2439999999999998)","(8.0, 8.8, 8.59047619047619)","(5.5, 9.0, 8.91304347826087)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 108.75)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:34.612774,"(3.7, 6.6, 6.3)","(4.2, 4.6, 4.24)","(2.8, 3.3, 3.2439999999999998)","(8.0, 8.8, 8.630769230769232)","(5.5, 9.4, 9.088888888888889)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 108.75)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:35.706302,"(3.7, 6.6, 6.388235294117647)","(4.2, 4.6, 4.24)","(2.8, 3.3, 3.2439999999999998)","(8.0, 8.8, 8.630769230769232)","(5.5, 9.4, 9.088888888888889)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 108.75)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:36.854004,"(3.7, 6.6, 6.371428571428571)","(4.2, 4.6, 4.226666666666667)","(2.8, 3.3, 3.28)","(8.0, 8.8, 8.630769230769232)","(5.5, 9.4, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 122.27272727272728)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:37.920209,"(3.7, 6.6, 6.525)","(4.2, 4.6, 4.226666666666667)","(2.8, 3.3, 3.25)","(8.0, 8.8, 8.630769230769232)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 124.16666666666667)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:39.070317,"(3.7, 6.6, 6.553846153846154)","(4.2, 4.6, 4.226666666666667)","(2.8, 3.3, 3.2411764705882353)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 135.0)","(31.0, 55.0, 51.61538461538461)"
10-01-2023 11:59:40.223647,"(3.7, 6.6, 6.525)","(4.2, 4.6, 4.216)","(2.8, 3.3, 3.209090909090909)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 135.0)","(31.0, 55.0, 49.0)"
10-01-2023 11:59:41.331490,"(3.7, 6.6, 6.553846153846154)","(4.2, 4.6, 4.216)","(2.8, 3.3, 3.209090909090909)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 135.0)","(31.0, 55.0, 50.5)"
10-01-2023 11:59:42.372124,"(3.7, 6.6, 6.525)","(4.2, 4.6, 4.216)","(2.8, 3.3, 3.2411764705882353)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 135.0)","(31.0, 55.0, 49.0)"
10-01-2023 11:59:43.553482,"(3.7, 6.6, 6.466666666666667)","(4.2, 4.6, 4.216)","(2.8, 3.3, 3.2411764705882353)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.4, 9.088888888888889)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 133.33333333333334)","(31.0, 55.0, 51.333333333333336)"
10-01-2023 11:59:44.705999,"(3.7, 6.6, 6.371428571428571)","(4.2, 4.6, 4.216)","(2.8, 3.3, 3.209090909090909)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.4, 9.088888888888889)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 111.07142857142857)","(31.0, 55.0, 51.333333333333336)"
10-01-2023 11:59:45.771670,"(3.7, 6.6, 6.466666666666667)","(4.2, 4.6, 4.219047619047619)","(2.8, 3.3, 3.2714285714285714)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.4, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 111.07142857142857)","(31.0, 55.0, 51.333333333333336)"
10-01-2023 11:59:46.820787,"(3.7, 6.6, 6.553846153846154)","(4.2, 4.6, 4.219047619047619)","(2.8, 3.3, 3.25)","(8.0, 8.8, 8.614285714285716)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 111.07142857142857)","(31.0, 55.0, 51.333333333333336)"
10-01-2023 11:59:47.846556,"(3.7, 6.6, 6.525)","(4.2, 4.6, 4.216)","(2.8, 3.3, 3.209090909090909)","(8.0, 8.8, 8.593548387096774)","(5.5, 9.0, 8.954545454545455)","(26.0, 34.0, 31.11111111111111)","(71.0, 170.0, 111.07142857142857)","(31.0, 55.0, 51.333333333333336)"
