,Oneloveonelife,Razor Sharp,The Dark Knight,Heritage,Bromac Hype,Sweet Nothings,Bobby Vinton,Sly Tricks,Major Bond,Ask Me Lou,Forty Wives,Blackjack Road,Call Me Sir
14-12-2022 12:19:04.725666,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:06.236560,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:07.689006,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:09.231703,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:10.794325,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:12.269308,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:13.821531,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:15.355330,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 140.83333333333331)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:16.836140,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 520.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:18.367806,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:19.926342,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:21.445758,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:23.003092,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:24.554273,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:26.048839,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:27.599158,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:29.175282,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:30.804925,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:32.386773,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:34.061710,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:35.686804,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:37.306921,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:39.095699,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:40.835750,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:42.608239,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:44.342467,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:46.020655,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:47.674719,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:49.347021,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:51.292419,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:53.125966,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:55.171660,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 312.77777777777777)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:57.091744,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:19:59.113468,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:00.818460,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:02.603496,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:04.409993,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:06.229649,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:07.972496,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:09.814161,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:11.660316,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:13.596787,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:15.347607,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:17.114315,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:19.154565,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
14-12-2022 12:20:21.123987,"(10.0, 23.0, 16.1)","(2.4, 2.88, 2.768780487804878)","(3.9, 7.0, 6.481081081081081)","(21.0, 140.0, 63.5)","(11.0, 23.0, 17.25)","(31.0, 420.0, 271.53846153846155)","(31.0, 320.0, 89.6)","(61.0, 560.0, 147.5)","(13.0, 22.0, 20.0)","(21.0, 220.0, 120.5)","(15.0, 34.0, 31.625)","(61.0, 510.0, 154.0)","(7.0, 20.0, 13.600000000000001)"
