,Dr Julienne,Green La La,Dr Callie,My Dreamer,Gero Lads,Sweet Lola,Hustle Hustle,Jayville Crew
11-01-2023 18:29:57.995068,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:59.283159,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:30:00.648143,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:30:02.013198,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:30:03.383423,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:30:04.821917,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 17.272727272727273)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:30:06.377127,"(14.0, 30.0, 18.1)","(2.6, 4.3, 2.795)","(17.0, 36.0, 27.200000000000003)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:07.781839,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 21.8)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:09.257827,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 40.0, 21.8)","(2.2, 3.6, 2.7066666666666666)","(13.0, 32.0, 23.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:10.845263,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 40.0, 23.0)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 23.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:12.443002,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 38.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 23.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:14.191798,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 23.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:15.748563,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 23.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:17.348906,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 20.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
