,Calculated Risk,Opawa Conan,Centurion,Gitan,Go Hazel,Goldstar Toby,Goldstar Gigi,Dembe
05-01-2023 15:46:16.853700,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:18.117685,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:19.334832,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:20.563751,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:21.738388,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:22.956932,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:24.204670,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:25.447588,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:26.576802,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:27.659839,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:28.721855,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:29.868754,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:31.081893,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 11.18181818181818)"
05-01-2023 15:46:32.270027,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:33.527289,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:34.702284,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:35.853026,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:36.889382,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:38.000677,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:39.186854,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:40.446238,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.357142857142856)"
05-01-2023 15:46:41.754389,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 13.795454545454545)"
05-01-2023 15:46:42.982222,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 13.795454545454545)"
05-01-2023 15:46:44.283565,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 13.795454545454545)"
05-01-2023 15:46:45.496977,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 13.795454545454545)"
05-01-2023 15:46:46.649473,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:47.860643,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:48.962245,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:50.051983,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:51.203816,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:52.371428,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:53.550977,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:54.730320,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:55.856139,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:56.883240,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:57.994961,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:46:59.169432,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:00.352996,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:01.507313,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.6473684210526316)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:02.591473,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:03.659953,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:04.801898,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:06.033415,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:07.233911,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:08.411286,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:09.689300,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:10.875614,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 14.640625)"
05-01-2023 15:47:12.072873,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:13.186223,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:14.282332,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:15.365559,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:16.452665,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:17.596614,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:18.796715,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:19.873377,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:21.059907,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:22.231092,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:23.377412,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:24.570526,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:25.713947,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:26.902483,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:28.002200,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:29.038482,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:30.176281,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:31.347702,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:32.518197,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:33.614529,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:34.733302,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:35.844839,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
05-01-2023 15:47:36.968352,"(6.5, 13.0, 11.985714285714286)","(3.2, 4.5, 3.6764705882352944)","(12.0, 32.0, 29.3125)","(2.6, 4.2, 3.756666666666667)","(12.0, 32.0, 29.3125)","(17.0, 130.0, 56.392857142857146)","(21.0, 220.0, 98.15384615384615)","(4.6, 16.5, 9.1875)"
