,Burrum Betty,Comical Rose,Petite Blitzen,Lethal Violet,Top Trip Pam,Shian Ricky,Caesars Corner,Lady Mcbeth
07-12-2022 13:46:25.093536,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:26.245986,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:27.569802,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:28.756351,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:29.968543,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:31.526829,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:32.788399,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:34.096317,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:35.198212,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:36.419520,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:37.541000,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:38.718229,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:39.831242,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:40.959378,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:42.133987,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:43.289358,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:44.474854,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:45.761924,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:46.968675,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:48.190448,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.932608695652174)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:49.388619,"(3.5, 5.8, 4.832758620689655)","(5.0, 8.2, 4.875)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:50.469040,"(3.5, 5.8, 4.52093023255814)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:51.679899,"(3.5, 5.8, 4.52093023255814)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:52.821742,"(3.5, 5.8, 4.52093023255814)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:53.909136,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:55.031162,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:56.377105,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:57.568131,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:58.712631,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:46:59.768863,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.722222222222221)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:00.818794,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:01.888456,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:02.992510,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:04.145815,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:05.269934,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:06.346030,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:07.370767,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:08.434967,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:09.456803,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:10.631273,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:11.877212,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:13.044501,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:14.126018,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:15.249478,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:16.296898,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:17.476468,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:18.737403,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:19.882132,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:20.931152,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:21.994049,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:23.180179,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:24.424576,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:25.665159,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:26.892997,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:28.160505,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 8.879999999999999)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:29.379595,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:30.533935,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:31.606858,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:32.805823,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:34.118321,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:35.296755,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:36.563130,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:37.874411,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:39.207542,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:40.547790,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 31.5)","(21.0, 100.0, 60.5)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
07-12-2022 13:47:41.911689,"(3.5, 5.8, 3.6)","(5.0, 8.2, 6.99090909090909)","(15.0, 48.0, 27.692307692307693)","(21.0, 100.0, 51.38461538461539)","(71.0, 570.0, 315.0)","(2.35, 3.45, 2.838421052631579)","(6.0, 11.0, 6.2727272727272725)","(8.5, 22.0, 10.833333333333332)"
